componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 unidade),codigo_alimento,nome_alimento
Energia,kJ,1229,368,BRC0056G,Nome não encontrado
Energia,kcal,295,88,BRC0056G,Nome não encontrado
Umidade,g,"47,6","14,3",BRC0056G,Nome não encontrado
Carboidrato total,g,"7,54","2,26",BRC0056G,Nome não encontrado
Carboidrato disponível,g,"7,54","2,26",BRC0056G,Nome não encontrado
Proteína,g,"20,4","6,13",BRC0056G,Nome não encontrado
Lipídios,g,"20,4","6,11",BRC0056G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0056G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0056G,Nome não encontrado
Cinzas,g,"4,04","1,21",BRC0056G,Nome não encontrado
Colesterol,mg,"53,1","15,9",BRC0056G,Nome não encontrado
Ácidos graxos saturados,g,"8,14","2,44",BRC0056G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,59","1,68",BRC0056G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,34","0,10",BRC0056G,Nome não encontrado
Ácidos graxos trans,g,"0,99","0,30",BRC0056G,Nome não encontrado
Cálcio,mg,743,222,BRC0056G,Nome não encontrado
Ferro,mg,"0,66","0,20",BRC0056G,Nome não encontrado
Sódio,mg,665,199,BRC0056G,Nome não encontrado
Magnésio,mg,"45,2","13,6",BRC0056G,Nome não encontrado
Fósforo,mg,326,"97,8",BRC0056G,Nome não encontrado
Potássio,mg,107,"32,2",BRC0056G,Nome não encontrado
Manganês,mg,"0,03","0,01",BRC0056G,Nome não encontrado
Zinco,mg,"1,70","0,51",BRC0056G,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0056G,Nome não encontrado
Selênio,mcg,,,BRC0056G,Nome não encontrado
Vitamina A (RE),mcg,"92,2","27,7",BRC0056G,Nome não encontrado
Vitamina A (RAE),mcg,"92,2","27,7",BRC0056G,Nome não encontrado
Vitamina D,mcg,"0,59","0,18",BRC0056G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,39","0,12",BRC0056G,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0056G,Nome não encontrado
Riboflavina,mg,"0,32","0,10",BRC0056G,Nome não encontrado
Niacina,mg,traços,traços,BRC0056G,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0056G,Nome não encontrado
Vitamina B12,mcg,"1,79","0,54",BRC0056G,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0056G,Nome não encontrado
Equivalente de folato,mcg,"7,15","2,14",BRC0056G,Nome não encontrado
Sal de adição,g,,,BRC0056G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0056G,Nome não encontrado
Gordura de adição,g,,,BRC0056G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0056G,Nome não encontrado
Proteína animal,g,"20,4","6,13",BRC0056G,Nome não encontrado
