componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,587,BRC0056L,Nome não encontrado
Energia,kcal,140,BRC0056L,Nome não encontrado
Umidade,g,"70,4",BRC0056L,Nome não encontrado
Carboidrato total,g,"19,4",BRC0056L,Nome não encontrado
Carboidrato disponível,g,"19,0",BRC0056L,Nome não encontrado
Proteína,g,"4,20",BRC0056L,Nome não encontrado
Lipídios,g,"5,13",BRC0056L,Nome não encontrado
Fibra alimentar,g,"0,42",BRC0056L,Nome não encontrado
Álcool,g,"0,00",BRC0056L,Nome não encontrado
Cinzas,g,"0,84",BRC0056L,Nome não encontrado
Colesterol,mg,"10,5",BRC0056L,Nome não encontrado
Ácidos graxos saturados,g,"2,48",BRC0056L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,53",BRC0056L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,54",BRC0056L,Nome não encontrado
Ácidos graxos trans,g,"0,32",BRC0056L,Nome não encontrado
Cálcio,mg,"96,7",BRC0056L,Nome não encontrado
Ferro,mg,"0,89",BRC0056L,Nome não encontrado
Sódio,mg,121,BRC0056L,Nome não encontrado
Magnésio,mg,"15,2",BRC0056L,Nome não encontrado
Fósforo,mg,"98,8",BRC0056L,Nome não encontrado
Potássio,mg,134,BRC0056L,Nome não encontrado
Manganês,mg,"0,16",BRC0056L,Nome não encontrado
Zinco,mg,"0,50",BRC0056L,Nome não encontrado
Cobre,mg,"0,05",BRC0056L,Nome não encontrado
Selênio,mcg,"4,80",BRC0056L,Nome não encontrado
Vitamina A (RE),mcg,"39,7",BRC0056L,Nome não encontrado
Vitamina A (RAE),mcg,"39,0",BRC0056L,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0056L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,24",BRC0056L,Nome não encontrado
Tiamina,mg,"0,23",BRC0056L,Nome não encontrado
Riboflavina,mg,"0,28",BRC0056L,Nome não encontrado
Niacina,mg,"2,00",BRC0056L,Nome não encontrado
Vitamina B6,mg,"0,05",BRC0056L,Nome não encontrado
Vitamina B12,mcg,"0,30",BRC0056L,Nome não encontrado
Vitamina C,mg,,BRC0056L,Nome não encontrado
Equivalente de folato,mcg,"34,1",BRC0056L,Nome não encontrado
Sal de adição,g,"0,00",BRC0056L,Nome não encontrado
Açúcar de adição,g,,BRC0056L,Nome não encontrado
Gordura de adição,g,-,BRC0056L,Nome não encontrado
Proteína vegetal,g,-,BRC0056L,Nome não encontrado
Proteína animal,g,-,BRC0056L,Nome não encontrado
