componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1550,62,15,BRC0056N,Nome não encontrado
Energia,kcal,365,14,3,BRC0056N,Nome não encontrado
Umidade,g,"8,83","0,35","0,09",BRC0056N,Nome não encontrado
Carboidrato total,g,"91,2","3,65","0,91",BRC0056N,Nome não encontrado
Carboidrato disponível,g,"91,2","3,65","0,91",BRC0056N,Nome não encontrado
Proteína,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Cálcio,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Ferro,mg,"0,04","0,00","0,00",BRC0056N,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Fósforo,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Potássio,mg,"4,00","0,16","0,04",BRC0056N,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0056N,Nome não encontrado
