componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,287,86,BRC0056T,Nome não encontrado
Energia,kcal,69,20,BRC0056T,Nome não encontrado
Umidade,g,"86,6","26,0",BRC0056T,Nome não encontrado
Carboidrato total,g,"2,13","0,64",BRC0056T,Nome não encontrado
Carboidrato disponível,g,"1,37","0,41",BRC0056T,Nome não encontrado
Proteína,g,"6,55","1,97",BRC0056T,Nome não encontrado
Lipídios,g,"3,95","1,19",BRC0056T,Nome não encontrado
Fibra alimentar,g,"0,75","0,23",BRC0056T,Nome não encontrado
Álcool,g,,,BRC0056T,Nome não encontrado
Cinzas,g,"0,72","0,22",BRC0056T,Nome não encontrado
Colesterol,mg,,,BRC0056T,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,12",BRC0056T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,50","0,15",BRC0056T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,70","0,51",BRC0056T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0056T,Nome não encontrado
Cálcio,mg,"80,8","24,2",BRC0056T,Nome não encontrado
Ferro,mg,"1,43","0,43",BRC0056T,Nome não encontrado
Sódio,mg,"1,21","0,36",BRC0056T,Nome não encontrado
Magnésio,mg,"38,2","11,5",BRC0056T,Nome não encontrado
Fósforo,mg,129,"38,9",BRC0056T,Nome não encontrado
Potássio,mg,181,"54,5",BRC0056T,Nome não encontrado
Manganês,mg,"0,33","0,10",BRC0056T,Nome não encontrado
Zinco,mg,"0,89","0,27",BRC0056T,Nome não encontrado
Cobre,mg,"0,18","0,05",BRC0056T,Nome não encontrado
Selênio,mcg,,,BRC0056T,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0056T,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0056T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0056T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0056T,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0056T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0056T,Nome não encontrado
Niacina,mg,traços,traços,BRC0056T,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0056T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0056T,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0056T,Nome não encontrado
Equivalente de folato,mcg,"13,0","3,89",BRC0056T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0056T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0056T,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0056T,Nome não encontrado
Proteína vegetal,g,"6,55","1,97",BRC0056T,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0056T,Nome não encontrado
