componente,unidade,Valor por 100g,Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,2697,458,BRC0058D,Nome não encontrado
Energia,kcal,656,111,BRC0058D,Nome não encontrado
Umidade,g,"24,7","4,20",BRC0058D,Nome não encontrado
Carboidrato total,g,"0,74","0,13",BRC0058D,Nome não encontrado
Carboidrato disponível,g,"0,74","0,13",BRC0058D,Nome não encontrado
Proteína,g,"2,41","0,41",BRC0058D,Nome não encontrado
Lipídios,g,"71,4","12,1",BRC0058D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0058D,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0058D,Nome não encontrado
Cinzas,g,"0,69","0,12",BRC0058D,Nome não encontrado
Colesterol,mg,"84,2","14,3",BRC0058D,Nome não encontrado
Ácidos graxos saturados,g,"11,2","1,90",BRC0058D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"17,0","2,89",BRC0058D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"41,9","7,12",BRC0058D,Nome não encontrado
Ácidos graxos trans,g,"0,35","0,06",BRC0058D,Nome não encontrado
Cálcio,mg,"10,6","1,80",BRC0058D,Nome não encontrado
Ferro,mg,"0,36","0,06",BRC0058D,Nome não encontrado
Sódio,mg,229,"38,9",BRC0058D,Nome não encontrado
Magnésio,mg,"2,64","0,45",BRC0058D,Nome não encontrado
Fósforo,mg,"37,8","6,43",BRC0058D,Nome não encontrado
Potássio,mg,"33,1","5,63",BRC0058D,Nome não encontrado
Manganês,mg,"0,02","0,00",BRC0058D,Nome não encontrado
Zinco,mg,"0,32","0,05",BRC0058D,Nome não encontrado
Cobre,mg,"0,23","0,04",BRC0058D,Nome não encontrado
Selênio,mcg,"3,48","0,59",BRC0058D,Nome não encontrado
Vitamina A (RE),mcg,"26,1","4,44",BRC0058D,Nome não encontrado
Vitamina A (RAE),mcg,"26,1","4,44",BRC0058D,Nome não encontrado
Vitamina D,mcg,"0,42","0,07",BRC0058D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"8,60","1,46",BRC0058D,Nome não encontrado
Tiamina,mg,"0,02","0,00",BRC0058D,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0058D,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0058D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0058D,Nome não encontrado
Vitamina B12,mcg,"0,22","0,04",BRC0058D,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0058D,Nome não encontrado
Equivalente de folato,mcg,"8,54","1,45",BRC0058D,Nome não encontrado
Sal de adição,g,"0,50","0,09",BRC0058D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0058D,Nome não encontrado
Gordura de adição,g,"69,4","11,8",BRC0058D,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0058D,Nome não encontrado
Proteína animal,g,"2,41","0,41",BRC0058D,Nome não encontrado
