componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,460,115,73,BRC0058K,Nome não encontrado
Energia,kcal,109,27,17,BRC0058K,Nome não encontrado
Umidade,g,"75,9","19,0","12,1",BRC0058K,Nome não encontrado
Carboidrato total,g,"16,9","4,23","2,70",BRC0058K,Nome não encontrado
Carboidrato disponível,g,"16,9","4,23","2,70",BRC0058K,Nome não encontrado
Proteína,g,"3,00","0,75","0,48",BRC0058K,Nome não encontrado
Lipídios,g,"3,30","0,83","0,53",BRC0058K,Nome não encontrado
Fibra alimentar,g,,,,BRC0058K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0058K,Nome não encontrado
Cinzas,g,"0,90","0,23","0,14",BRC0058K,Nome não encontrado
Colesterol,mg,"13,2","3,30","2,11",BRC0058K,Nome não encontrado
Ácidos graxos saturados,g,"1,98","0,50","0,32",BRC0058K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,90","0,23","0,14",BRC0058K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,03","0,02",BRC0058K,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0058K,Nome não encontrado
Cálcio,mg,105,"26,4","16,9",BRC0058K,Nome não encontrado
Ferro,mg,"0,06","0,01","0,01",BRC0058K,Nome não encontrado
Sódio,mg,106,"26,6","17,0",BRC0058K,Nome não encontrado
Magnésio,mg,"11,4","2,85","1,82",BRC0058K,Nome não encontrado
Fósforo,mg,"79,8","19,9","12,8",BRC0058K,Nome não encontrado
Potássio,mg,151,"38,0","24,3",BRC0058K,Nome não encontrado
Manganês,mg,,,,BRC0058K,Nome não encontrado
Zinco,mg,"0,33","0,08","0,05",BRC0058K,Nome não encontrado
Cobre,mg,,,,BRC0058K,Nome não encontrado
Selênio,mcg,,,,BRC0058K,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0058K,Nome não encontrado
Vitamina A (RAE),mcg,"31,9","7,98","5,10",BRC0058K,Nome não encontrado
Vitamina D,mcg,"0,99","0,25","0,16",BRC0058K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0058K,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,00",BRC0058K,Nome não encontrado
Riboflavina,mg,"0,15","0,04","0,02",BRC0058K,Nome não encontrado
Niacina,mg,"0,07","0,02","0,01",BRC0058K,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,01",BRC0058K,Nome não encontrado
Vitamina B12,mcg,"0,25","0,06","0,04",BRC0058K,Nome não encontrado
Vitamina C,mg,"0,67","0,17","0,11",BRC0058K,Nome não encontrado
Equivalente de folato,mcg,"3,80","0,95","0,61",BRC0058K,Nome não encontrado
Sal de adição,g,,,,BRC0058K,Nome não encontrado
Açúcar de adição,g,,,,BRC0058K,Nome não encontrado
Gordura de adição,g,,,,BRC0058K,Nome não encontrado
Proteína vegetal,g,,,,BRC0058K,Nome não encontrado
Proteína animal,g,,,,BRC0058K,Nome não encontrado
