componente,unidade,Valor por 100g,Colher sopa cheia (36 g),Colher sopa rasa (16 g),Escumadeira cheia (100 g),Escumadeira rasa (70 g),codigo_alimento,nome_alimento
Energia,kJ,212,76,33,212,148,BRC0059B,Nome não encontrado
Energia,kcal,50,18,8,50,35,BRC0059B,Nome não encontrado
Umidade,g,"86,4","31,1","13,8","86,4","60,4",BRC0059B,Nome não encontrado
Carboidrato total,g,"10,8","3,87","1,72","10,8","7,53",BRC0059B,Nome não encontrado
Carboidrato disponível,g,"8,30","2,99","1,33","8,30","5,81",BRC0059B,Nome não encontrado
Proteína,g,"1,44","0,52","0,23","1,44","1,01",BRC0059B,Nome não encontrado
Lipídios,g,"0,73","0,26","0,12","0,73","0,51",BRC0059B,Nome não encontrado
Fibra alimentar,g,"2,46","0,89","0,39","2,46","1,72",BRC0059B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Cinzas,g,"0,71","0,26","0,11","0,71","0,50",BRC0059B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,02","0,10","0,07",BRC0059B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,07","0,03","0,20","0,14",BRC0059B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,07","0,03","0,20","0,14",BRC0059B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Cálcio,mg,"7,63","2,75","1,22","7,63","5,34",BRC0059B,Nome não encontrado
Ferro,mg,"0,35","0,12","0,06","0,35","0,24",BRC0059B,Nome não encontrado
Sódio,mg,"1,45","0,52","0,23","1,45","1,02",BRC0059B,Nome não encontrado
Magnésio,mg,"9,11","3,28","1,46","9,11","6,38",BRC0059B,Nome não encontrado
Fósforo,mg,"32,6","11,7","5,22","32,6","22,8",BRC0059B,Nome não encontrado
Potássio,mg,199,"71,7","31,9",199,139,BRC0059B,Nome não encontrado
Manganês,mg,"0,26","0,09","0,04","0,26","0,18",BRC0059B,Nome não encontrado
Zinco,mg,"0,29","0,10","0,05","0,29","0,20",BRC0059B,Nome não encontrado
Cobre,mg,"0,06","0,02","0,01","0,06","0,04",BRC0059B,Nome não encontrado
Selênio,mcg,"1,18","0,42","0,19","1,18","0,82",BRC0059B,Nome não encontrado
Vitamina A (RE),mcg,617,222,"98,9",617,432,BRC0059B,Nome não encontrado
Vitamina A (RAE),mcg,308,111,"49,4",308,216,BRC0059B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"8,34","3,00","1,33","8,34","5,83",BRC0059B,Nome não encontrado
Tiamina,mg,"0,08","0,03","0,01","0,08","0,05",BRC0059B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0059B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0059B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,01","0,07","0,05",BRC0059B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Vitamina C,mg,"7,46","2,69","1,19","7,46","5,22",BRC0059B,Nome não encontrado
Equivalente de folato,mcg,"8,94","3,22","1,43","8,94","6,26",BRC0059B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
Proteína vegetal,g,"1,44","0,52","0,23","1,44","1,01",BRC0059B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0059B,Nome não encontrado
