componente,unidade,Valor por 100g,Porção Média (120 g),codigo_alimento,nome_alimento
Energia,kJ,803,963,BRC0061F,Nome não encontrado
Energia,kcal,192,230,BRC0061F,Nome não encontrado
Umidade,g,"66,2","79,4",BRC0061F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0061F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0061F,Nome não encontrado
Proteína,g,"20,7","24,8",BRC0061F,Nome não encontrado
Lipídios,g,"12,2","14,6",BRC0061F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0061F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0061F,Nome não encontrado
Cinzas,g,"0,92","1,10",BRC0061F,Nome não encontrado
Colesterol,mg,"59,5","71,4",BRC0061F,Nome não encontrado
Ácidos graxos saturados,g,"2,70","3,24",BRC0061F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,60","3,12",BRC0061F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,12",BRC0061F,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,11",BRC0061F,Nome não encontrado
Cálcio,mg,"4,20","5,04",BRC0061F,Nome não encontrado
Ferro,mg,"1,68","2,02",BRC0061F,Nome não encontrado
Sódio,mg,"52,9","63,5",BRC0061F,Nome não encontrado
Magnésio,mg,"20,6","24,8",BRC0061F,Nome não encontrado
Fósforo,mg,183,220,BRC0061F,Nome não encontrado
Potássio,mg,334,401,BRC0061F,Nome não encontrado
Manganês,mg,traços,traços,BRC0061F,Nome não encontrado
Zinco,mg,"3,36","4,03",BRC0061F,Nome não encontrado
Cobre,mg,"0,05","0,06",BRC0061F,Nome não encontrado
Selênio,mcg,"9,70","11,6",BRC0061F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0061F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0061F,Nome não encontrado
Vitamina D,mcg,"0,17","0,21",BRC0061F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,36",BRC0061F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0061F,Nome não encontrado
Riboflavina,mg,"0,20","0,24",BRC0061F,Nome não encontrado
Niacina,mg,"4,64","5,57",BRC0061F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0061F,Nome não encontrado
Vitamina B12,mcg,"0,76","0,92",BRC0061F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0061F,Nome não encontrado
Equivalente de folato,mcg,,,BRC0061F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0061F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0061F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0061F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0061F,Nome não encontrado
Proteína animal,g,"24,0","28,8",BRC0061F,Nome não encontrado
