componente,unidade,Valor por 100g,Colher sobremesa cheia (25 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,514,128,180,BRC0062L,Nome não encontrado
Energia,kcal,124,31,43,BRC0062L,Nome não encontrado
Umidade,g,"79,7","19,9","27,9",BRC0062L,Nome não encontrado
Carboidrato total,g,"6,06","1,51","2,12",BRC0062L,Nome não encontrado
Carboidrato disponível,g,"4,22","1,05","1,48",BRC0062L,Nome não encontrado
Proteína,g,"1,85","0,46","0,65",BRC0062L,Nome não encontrado
Lipídios,g,"10,7","2,68","3,75",BRC0062L,Nome não encontrado
Fibra alimentar,g,"1,84","0,46","0,64",BRC0062L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0062L,Nome não encontrado
Cinzas,g,"1,70","0,42","0,59",BRC0062L,Nome não encontrado
Colesterol,mg,"19,9","4,99","6,98",BRC0062L,Nome não encontrado
Ácidos graxos saturados,g,"4,09","1,02","1,43",BRC0062L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,35","0,59","0,82",BRC0062L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,25","0,56","0,79",BRC0062L,Nome não encontrado
Ácidos graxos trans,g,"0,19","0,05","0,07",BRC0062L,Nome não encontrado
Cálcio,mg,"36,9","9,21","12,9",BRC0062L,Nome não encontrado
Ferro,mg,"0,49","0,12","0,17",BRC0062L,Nome não encontrado
Sódio,mg,418,104,146,BRC0062L,Nome não encontrado
Magnésio,mg,"13,9","3,48","4,87",BRC0062L,Nome não encontrado
Fósforo,mg,"62,3","15,6","21,8",BRC0062L,Nome não encontrado
Potássio,mg,257,"64,4","90,1",BRC0062L,Nome não encontrado
Manganês,mg,"0,13","0,03","0,04",BRC0062L,Nome não encontrado
Zinco,mg,"0,29","0,07","0,10",BRC0062L,Nome não encontrado
Cobre,mg,"0,10","0,03","0,04",BRC0062L,Nome não encontrado
Selênio,mcg,"0,91","0,23","0,32",BRC0062L,Nome não encontrado
Vitamina A (RE),mcg,144,"36,0","50,4",BRC0062L,Nome não encontrado
Vitamina A (RAE),mcg,"92,3","23,1","32,3",BRC0062L,Nome não encontrado
Vitamina D,mcg,"0,32","0,08","0,11",BRC0062L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,99","0,25","0,35",BRC0062L,Nome não encontrado
Tiamina,mg,"0,09","0,02","0,03",BRC0062L,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,02",BRC0062L,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0062L,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,02",BRC0062L,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,01",BRC0062L,Nome não encontrado
Vitamina C,mg,"14,3","3,59","5,02",BRC0062L,Nome não encontrado
Equivalente de folato,mcg,"13,0","3,25","4,56",BRC0062L,Nome não encontrado
Sal de adição,g,"0,32","0,08","0,11",BRC0062L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0062L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0062L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0062L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0062L,Nome não encontrado
