componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (130 g),codigo_alimento,nome_alimento
Energia,kJ,277,359,BRC0063C,Nome não encontrado
Energia,kcal,65,85,BRC0063C,Nome não encontrado
Umidade,g,"82,6",107,BRC0063C,Nome não encontrado
Carboidrato total,g,"16,6","21,6",BRC0063C,Nome não encontrado
Carboidrato disponível,g,"14,6","18,9",BRC0063C,Nome não encontrado
Proteína,g,"0,23","0,29",BRC0063C,Nome não encontrado
Lipídios,g,"0,25","0,32",BRC0063C,Nome não encontrado
Fibra alimentar,g,"2,03","2,63",BRC0063C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0063C,Nome não encontrado
Cinzas,g,"0,29","0,38",BRC0063C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0063C,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,13",BRC0063C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0063C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0063C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0063C,Nome não encontrado
Cálcio,mg,"3,39","4,41",BRC0063C,Nome não encontrado
Ferro,mg,"0,05","0,07",BRC0063C,Nome não encontrado
Sódio,mg,"1,32","1,71",BRC0063C,Nome não encontrado
Magnésio,mg,"4,86","6,32",BRC0063C,Nome não encontrado
Fósforo,mg,"11,4","14,8",BRC0063C,Nome não encontrado
Potássio,mg,117,152,BRC0063C,Nome não encontrado
Manganês,mg,"0,01","0,02",BRC0063C,Nome não encontrado
Zinco,mg,traços,traços,BRC0063C,Nome não encontrado
Cobre,mg,"0,03","0,04",BRC0063C,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0063C,Nome não encontrado
Vitamina A (RE),mcg,"7,00","9,10",BRC0063C,Nome não encontrado
Vitamina A (RAE),mcg,"3,50","4,55",BRC0063C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0063C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26","0,34",BRC0063C,Nome não encontrado
Tiamina,mg,"0,05","0,07",BRC0063C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0063C,Nome não encontrado
Niacina,mg,traços,traços,BRC0063C,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0063C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0063C,Nome não encontrado
Vitamina C,mg,"1,49","1,93",BRC0063C,Nome não encontrado
Equivalente de folato,mcg,"3,61","4,69",BRC0063C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0063C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0063C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0063C,Nome não encontrado
Proteína vegetal,g,"0,23","0,29",BRC0063C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0063C,Nome não encontrado
