componente,unidade,Valor por 100g,Colher sobremesa cheia (25 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,517,129,180,BRC0063L,Nome não encontrado
Energia,kcal,125,31,43,BRC0063L,Nome não encontrado
Umidade,g,"79,8","20,0","27,9",BRC0063L,Nome não encontrado
Carboidrato total,g,"6,20","1,55","2,17",BRC0063L,Nome não encontrado
Carboidrato disponível,g,"4,31","1,08","1,51",BRC0063L,Nome não encontrado
Proteína,g,"1,88","0,47","0,66",BRC0063L,Nome não encontrado
Lipídios,g,"10,7","2,68","3,75",BRC0063L,Nome não encontrado
Fibra alimentar,g,"1,89","0,47","0,66",BRC0063L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0063L,Nome não encontrado
Cinzas,g,"1,39","0,35","0,49",BRC0063L,Nome não encontrado
Colesterol,mg,"19,9","4,99","6,98",BRC0063L,Nome não encontrado
Ácidos graxos saturados,g,"4,10","1,02","1,43",BRC0063L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,35","0,59","0,82",BRC0063L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,26","0,56","0,79",BRC0063L,Nome não encontrado
Ácidos graxos trans,g,"0,19","0,05","0,07",BRC0063L,Nome não encontrado
Cálcio,mg,"37,9","9,48","13,3",BRC0063L,Nome não encontrado
Ferro,mg,"0,51","0,13","0,18",BRC0063L,Nome não encontrado
Sódio,mg,290,"72,6",101,BRC0063L,Nome não encontrado
Magnésio,mg,"14,3","3,57","4,99",BRC0063L,Nome não encontrado
Fósforo,mg,"62,7","15,7","22,0",BRC0063L,Nome não encontrado
Potássio,mg,258,"64,6","90,5",BRC0063L,Nome não encontrado
Manganês,mg,"0,16","0,04","0,05",BRC0063L,Nome não encontrado
Zinco,mg,"0,29","0,07","0,10",BRC0063L,Nome não encontrado
Cobre,mg,"0,10","0,03","0,04",BRC0063L,Nome não encontrado
Selênio,mcg,"0,92","0,23","0,32",BRC0063L,Nome não encontrado
Vitamina A (RE),mcg,144,"36,2","50,6",BRC0063L,Nome não encontrado
Vitamina A (RAE),mcg,"92,7","23,2","32,4",BRC0063L,Nome não encontrado
Vitamina D,mcg,"0,32","0,08","0,11",BRC0063L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,99","0,25","0,35",BRC0063L,Nome não encontrado
Tiamina,mg,"0,09","0,02","0,03",BRC0063L,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,02",BRC0063L,Nome não encontrado
Niacina,mg,"0,02","0,00","0,01",BRC0063L,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,02",BRC0063L,Nome não encontrado
Vitamina B12,mcg,"0,03","0,01","0,01",BRC0063L,Nome não encontrado
Vitamina C,mg,"14,4","3,60","5,04",BRC0063L,Nome não encontrado
Equivalente de folato,mcg,"13,2","3,30","4,62",BRC0063L,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0063L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0063L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0063L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0063L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0063L,Nome não encontrado
