componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (16 g),codigo_alimento,nome_alimento
Energia,kJ,1604,481,256,BRC0065L,Nome não encontrado
Energia,kcal,389,116,62,BRC0065L,Nome não encontrado
Umidade,g,"47,9","14,4","7,67",BRC0065L,Nome não encontrado
Carboidrato total,g,"10,5","3,15","1,68",BRC0065L,Nome não encontrado
Carboidrato disponível,g,"6,28","1,88","1,00",BRC0065L,Nome não encontrado
Proteína,g,"1,28","0,38","0,20",BRC0065L,Nome não encontrado
Lipídios,g,"39,0","11,7","6,24",BRC0065L,Nome não encontrado
Fibra alimentar,g,"4,23","1,27","0,68",BRC0065L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Cinzas,g,"1,31","0,39","0,21",BRC0065L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Ácidos graxos saturados,g,"6,10","1,83","0,98",BRC0065L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"28,9","8,66","4,62",BRC0065L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,81","1,14","0,61",BRC0065L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Cálcio,mg,119,"35,7","19,1",BRC0065L,Nome não encontrado
Ferro,mg,"3,11","0,93","0,50",BRC0065L,Nome não encontrado
Sódio,mg,186,"55,9","29,8",BRC0065L,Nome não encontrado
Magnésio,mg,"32,3","9,69","5,17",BRC0065L,Nome não encontrado
Fósforo,mg,"24,3","7,30","3,89",BRC0065L,Nome não encontrado
Potássio,mg,138,"41,6","22,2",BRC0065L,Nome não encontrado
Manganês,mg,"0,96","0,29","0,15",BRC0065L,Nome não encontrado
Zinco,mg,"0,69","0,21","0,11",BRC0065L,Nome não encontrado
Cobre,mg,"0,14","0,04","0,02",BRC0065L,Nome não encontrado
Selênio,mcg,"0,52","0,16","0,08",BRC0065L,Nome não encontrado
Vitamina A (RE),mcg,"62,9","18,9","10,1",BRC0065L,Nome não encontrado
Vitamina A (RAE),mcg,"51,8","15,5","8,29",BRC0065L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"7,08","2,12","1,13",BRC0065L,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01",BRC0065L,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01",BRC0065L,Nome não encontrado
Niacina,mg,"0,26","0,08","0,04",BRC0065L,Nome não encontrado
Vitamina B6,mg,"0,13","0,04","0,02",BRC0065L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Vitamina C,mg,"11,8","3,55","1,89",BRC0065L,Nome não encontrado
Equivalente de folato,mcg,"23,4","7,03","3,75",BRC0065L,Nome não encontrado
Sal de adição,g,"0,45","0,14","0,07",BRC0065L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0065L,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0065L,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0065L,Nome não encontrado
Proteína animal,g,-,-,-,BRC0065L,Nome não encontrado
