componente,unidade,Valor por 100g,Colher sopa cheia (15 g),Colher sopa rasa (11 g),codigo_alimento,nome_alimento
Energia,kJ,118,17,13,BRC0067T,Nome não encontrado
Energia,kcal,28,4,3,BRC0067T,Nome não encontrado
Umidade,g,"91,1","13,7","10,0",BRC0067T,Nome não encontrado
Carboidrato total,g,"6,00","0,90","0,66",BRC0067T,Nome não encontrado
Carboidrato disponível,g,"3,30","0,50","0,36",BRC0067T,Nome não encontrado
Proteína,g,"2,04","0,31","0,22",BRC0067T,Nome não encontrado
Lipídios,g,"0,16","0,02","0,02",BRC0067T,Nome não encontrado
Fibra alimentar,g,"2,70","0,41","0,30",BRC0067T,Nome não encontrado
Álcool,g,,,,BRC0067T,Nome não encontrado
Cinzas,g,"0,66","0,10","0,07",BRC0067T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Ácidos graxos saturados,g,"0,04","0,01","0,00",BRC0067T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00","0,00",BRC0067T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,01","0,01",BRC0067T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Cálcio,mg,"41,1","6,17","4,52",BRC0067T,Nome não encontrado
Ferro,mg,"0,43","0,06","0,05",BRC0067T,Nome não encontrado
Sódio,mg,traços,traços,traços,BRC0067T,Nome não encontrado
Magnésio,mg,"17,8","2,67","1,96",BRC0067T,Nome não encontrado
Fósforo,mg,"28,0","4,20","3,08",BRC0067T,Nome não encontrado
Potássio,mg,208,"31,2","22,9",BRC0067T,Nome não encontrado
Manganês,mg,"0,50","0,08","0,06",BRC0067T,Nome não encontrado
Zinco,mg,"0,33","0,05","0,04",BRC0067T,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01",BRC0067T,Nome não encontrado
Selênio,mcg,,,,BRC0067T,Nome não encontrado
Vitamina A (RE),mcg,"32,1","4,81","3,53",BRC0067T,Nome não encontrado
Vitamina A (RAE),mcg,"16,0","2,41","1,76",BRC0067T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,05","0,03",BRC0067T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0067T,Nome não encontrado
Riboflavina,mg,"0,08","0,01","0,01",BRC0067T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0067T,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Vitamina C,mg,"1,15","0,17","0,13",BRC0067T,Nome não encontrado
Equivalente de folato,mcg,"30,2","4,53","3,32",BRC0067T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
Proteína vegetal,g,"2,04","0,31","0,22",BRC0067T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0067T,Nome não encontrado
