componente,unidade,Valor por 100g,Colher sopa cheia (25 ml),codigo_alimento,nome_alimento
Energia,kJ,940,234,BRC0070L,Nome não encontrado
Energia,kcal,228,56,BRC0070L,Nome não encontrado
Umidade,g,"68,6","17,2",BRC0070L,Nome não encontrado
Carboidrato total,g,"5,22","1,31",BRC0070L,Nome não encontrado
Carboidrato disponível,g,"3,75","0,94",BRC0070L,Nome não encontrado
Proteína,g,"0,93","0,23",BRC0070L,Nome não encontrado
Lipídios,g,"22,9","5,73",BRC0070L,Nome não encontrado
Fibra alimentar,g,"1,47","0,37",BRC0070L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0070L,Nome não encontrado
Cinzas,g,"2,29","0,57",BRC0070L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0070L,Nome não encontrado
Ácidos graxos saturados,g,"3,64","0,91",BRC0070L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,34","1,59",BRC0070L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"12,1","3,04",BRC0070L,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,03",BRC0070L,Nome não encontrado
Cálcio,mg,"37,9","9,48",BRC0070L,Nome não encontrado
Ferro,mg,"0,57","0,14",BRC0070L,Nome não encontrado
Sódio,mg,670,167,BRC0070L,Nome não encontrado
Magnésio,mg,"6,93","1,73",BRC0070L,Nome não encontrado
Fósforo,mg,"17,8","4,46",BRC0070L,Nome não encontrado
Potássio,mg,156,"39,0",BRC0070L,Nome não encontrado
Manganês,mg,"0,35","0,09",BRC0070L,Nome não encontrado
Zinco,mg,"0,50","0,12",BRC0070L,Nome não encontrado
Cobre,mg,"0,13","0,03",BRC0070L,Nome não encontrado
Selênio,mcg,"0,28","0,07",BRC0070L,Nome não encontrado
Vitamina A (RE),mcg,133,"33,3",BRC0070L,Nome não encontrado
Vitamina A (RAE),mcg,"66,5","16,6",BRC0070L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0070L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,46","0,61",BRC0070L,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0070L,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0070L,Nome não encontrado
Niacina,mg,"0,10","0,02",BRC0070L,Nome não encontrado
Vitamina B6,mg,"0,11","0,03",BRC0070L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0070L,Nome não encontrado
Vitamina C,mg,"7,80","1,95",BRC0070L,Nome não encontrado
Equivalente de folato,mcg,"23,2","5,80",BRC0070L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0070L,Nome não encontrado
Açúcar de adição,g,,,BRC0070L,Nome não encontrado
Gordura de adição,g,-,-,BRC0070L,Nome não encontrado
Proteína vegetal,g,-,-,BRC0070L,Nome não encontrado
Proteína animal,g,-,-,BRC0070L,Nome não encontrado
