componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,608,364,243,151,91,BRC0071F,Nome não encontrado
Energia,kcal,145,87,58,36,21,BRC0071F,Nome não encontrado
Umidade,g,"72,2","43,3","28,9","18,1","10,8",BRC0071F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Proteína,g,"19,3","11,6","7,72","4,83","2,90",BRC0071F,Nome não encontrado
Lipídios,g,"7,56","4,54","3,02","1,89","1,13",BRC0071F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Cinzas,g,"0,93","0,56","0,37","0,23","0,14",BRC0071F,Nome não encontrado
Colesterol,mg,"70,1","42,1","28,1","17,5","10,5",BRC0071F,Nome não encontrado
Ácidos graxos saturados,g,"3,03","1,82","1,21","0,76","0,45",BRC0071F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,58","2,15","1,43","0,90","0,54",BRC0071F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,08","0,06","0,04","0,02",BRC0071F,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06","0,04","0,02",BRC0071F,Nome não encontrado
Cálcio,mg,"3,64","2,18","1,46","0,91","0,55",BRC0071F,Nome não encontrado
Ferro,mg,"1,86","1,12","0,75","0,47","0,28",BRC0071F,Nome não encontrado
Sódio,mg,"66,1","39,6","26,4","16,5","9,91",BRC0071F,Nome não encontrado
Magnésio,mg,"17,5","10,5","6,98","4,36","2,62",BRC0071F,Nome não encontrado
Fósforo,mg,162,"97,3","64,9","40,5","24,3",BRC0071F,Nome não encontrado
Potássio,mg,295,177,118,"74,0","44,4",BRC0071F,Nome não encontrado
Manganês,mg,traços,traços,traços,traços,traços,BRC0071F,Nome não encontrado
Zinco,mg,"3,65","2,19","1,46","0,91","0,55",BRC0071F,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02","0,01","0,01",BRC0071F,Nome não encontrado
Selênio,mcg,"2,24","1,34","0,90","0,56","0,34",BRC0071F,Nome não encontrado
Vitamina A (RE),mcg,"1,91","1,15","0,76","0,48","0,29",BRC0071F,Nome não encontrado
Vitamina A (RAE),mcg,"1,91","1,15","0,76","0,48","0,29",BRC0071F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,04","0,63","0,42","0,26","0,16",BRC0071F,Nome não encontrado
Tiamina,mg,"0,09","0,06","0,04","0,02","0,01",BRC0071F,Nome não encontrado
Riboflavina,mg,"0,19","0,11","0,07","0,05","0,03",BRC0071F,Nome não encontrado
Niacina,mg,"2,79","1,67","1,11","0,70","0,42",BRC0071F,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02","0,01","0,01",BRC0071F,Nome não encontrado
Vitamina B12,mcg,"1,65","0,99","0,66","0,41","0,25",BRC0071F,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Equivalente de folato,mcg,,,,,,BRC0071F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00",BRC0071F,Nome não encontrado
Proteína animal,g,"19,3","11,6","7,72","4,83","2,90",BRC0071F,Nome não encontrado
