componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (30 g),codigo_alimento,nome_alimento
Energia,kJ,2016,604,BRC0071N,Nome não encontrado
Energia,kcal,481,144,BRC0071N,Nome não encontrado
Umidade,g,"4,20","1,26",BRC0071N,Nome não encontrado
Carboidrato total,g,"68,2","20,5",BRC0071N,Nome não encontrado
Carboidrato disponível,g,"64,1","19,2",BRC0071N,Nome não encontrado
Proteína,g,"4,50","1,35",BRC0071N,Nome não encontrado
Lipídios,g,"22,1","6,63",BRC0071N,Nome não encontrado
Fibra alimentar,g,"4,10","1,23",BRC0071N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0071N,Nome não encontrado
Cinzas,g,"1,02","0,31",BRC0071N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0071N,Nome não encontrado
Ácidos graxos saturados,g,"3,99","1,20",BRC0071N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"9,21","2,76",BRC0071N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"7,92","2,38",BRC0071N,Nome não encontrado
Ácidos graxos trans,g,,,BRC0071N,Nome não encontrado
Cálcio,mg,"98,0","29,4",BRC0071N,Nome não encontrado
Ferro,mg,"4,72","1,42",BRC0071N,Nome não encontrado
Sódio,mg,342,102,BRC0071N,Nome não encontrado
Magnésio,mg,"26,0","7,80",BRC0071N,Nome não encontrado
Fósforo,mg,200,"60,0",BRC0071N,Nome não encontrado
Potássio,mg,295,"88,5",BRC0071N,Nome não encontrado
Manganês,mg,"0,40","0,12",BRC0071N,Nome não encontrado
Zinco,mg,"0,58","0,17",BRC0071N,Nome não encontrado
Cobre,mg,"0,22","0,07",BRC0071N,Nome não encontrado
Selênio,mcg,"3,70","1,11",BRC0071N,Nome não encontrado
Vitamina A (RE),mcg,"1,00","0,30",BRC0071N,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","0,30",BRC0071N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0071N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,64","0,49",BRC0071N,Nome não encontrado
Tiamina,mg,"0,52","0,16",BRC0071N,Nome não encontrado
Riboflavina,mg,"0,29","0,09",BRC0071N,Nome não encontrado
Niacina,mg,"3,97","1,19",BRC0071N,Nome não encontrado
Vitamina B6,mg,"0,03","0,01",BRC0071N,Nome não encontrado
Vitamina B12,mcg,"0,04","0,01",BRC0071N,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0071N,Nome não encontrado
Equivalente de folato,mcg,"98,0","29,4",BRC0071N,Nome não encontrado
Sal de adição,g,,,BRC0071N,Nome não encontrado
Açúcar de adição,g,,,BRC0071N,Nome não encontrado
Gordura de adição,g,,,BRC0071N,Nome não encontrado
Proteína vegetal,g,,,BRC0071N,Nome não encontrado
Proteína animal,g,,,BRC0071N,Nome não encontrado
