componente,unidade,Valor por 100g,Colher sopa cheia (30 g),codigo_alimento,nome_alimento
Energia,kJ,519,155,BRC0073K,Nome não encontrado
Energia,kcal,122,36,BRC0073K,Nome não encontrado
Umidade,g,"69,4","20,8",BRC0073K,Nome não encontrado
Carboidrato total,g,"30,6","9,17",BRC0073K,Nome não encontrado
Carboidrato disponível,g,"30,6","9,17",BRC0073K,Nome não encontrado
Proteína,g,"0,00","0,00",BRC0073K,Nome não encontrado
Lipídios,g,,,BRC0073K,Nome não encontrado
Fibra alimentar,g,,,BRC0073K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0073K,Nome não encontrado
Cinzas,g,"0,03","0,01",BRC0073K,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00",BRC0073K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00",BRC0073K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0073K,Nome não encontrado
Ácidos graxos trans,g,,,BRC0073K,Nome não encontrado
Cálcio,mg,"6,87","2,06",BRC0073K,Nome não encontrado
Ferro,mg,"0,54","0,16",BRC0073K,Nome não encontrado
Sódio,mg,"0,34","0,10",BRC0073K,Nome não encontrado
Magnésio,mg,"0,34","0,10",BRC0073K,Nome não encontrado
Fósforo,mg,"2,41","0,72",BRC0073K,Nome não encontrado
Potássio,mg,"3,78","1,13",BRC0073K,Nome não encontrado
Manganês,mg,,,BRC0073K,Nome não encontrado
Zinco,mg,"0,04","0,01",BRC0073K,Nome não encontrado
Cobre,mg,,,BRC0073K,Nome não encontrado
Selênio,mcg,,,BRC0073K,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0073K,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0073K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0073K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0073K,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Riboflavina,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Niacina,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0073K,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0073K,Nome não encontrado
Equivalente de folato,mcg,"1,37","0,41",BRC0073K,Nome não encontrado
Sal de adição,g,,,BRC0073K,Nome não encontrado
Açúcar de adição,g,,,BRC0073K,Nome não encontrado
Gordura de adição,g,,,BRC0073K,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0073K,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0073K,Nome não encontrado
