componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,488,185,82,53,117,68,BRC0074T,Nome não encontrado
Energia,kcal,115,43,19,12,27,16,BRC0074T,Nome não encontrado
Umidade,g,"68,2","25,9","11,6","7,51","16,4","9,55",BRC0074T,Nome não encontrado
Carboidrato total,g,"22,2","8,45","3,78","2,45","5,34","3,11",BRC0074T,Nome não encontrado
Carboidrato disponível,g,"17,9","6,79","3,04","1,97","4,29","2,50",BRC0074T,Nome não encontrado
Proteína,g,"7,70","2,92","1,31","0,85","1,85","1,08",BRC0074T,Nome não encontrado
Lipídios,g,"0,50","0,19","0,09","0,06","0,12","0,07",BRC0074T,Nome não encontrado
Fibra alimentar,g,"4,36","1,65","0,74","0,48","1,05","0,61",BRC0074T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Cinzas,g,"1,34","0,51","0,23","0,15","0,32","0,19",BRC0074T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Ácidos graxos saturados,g,"0,07","0,03","0,01","0,01","0,02","0,01",BRC0074T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,10","0,04","0,02","0,01","0,02","0,01",BRC0074T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,21","0,08","0,04","0,02","0,05","0,03",BRC0074T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Cálcio,mg,"12,2","4,64","2,08","1,34","2,93","1,71",BRC0074T,Nome não encontrado
Ferro,mg,"1,42","0,54","0,24","0,16","0,34","0,20",BRC0074T,Nome não encontrado
Sódio,mg,260,"98,9","44,2","28,6","62,5","36,4",BRC0074T,Nome não encontrado
Magnésio,mg,"25,1","9,54","4,27","2,76","6,02","3,51",BRC0074T,Nome não encontrado
Fósforo,mg,124,"47,4","21,2","13,7","30,0","17,5",BRC0074T,Nome não encontrado
Potássio,mg,183,"69,8","31,2","20,2","44,1","25,7",BRC0074T,Nome não encontrado
Manganês,mg,"0,16","0,06","0,03","0,02","0,04","0,02",BRC0074T,Nome não encontrado
Zinco,mg,"1,28","0,48","0,22","0,14","0,31","0,18",BRC0074T,Nome não encontrado
Cobre,mg,"0,24","0,09","0,04","0,03","0,06","0,03",BRC0074T,Nome não encontrado
Selênio,mcg,"0,63","0,24","0,11","0,07","0,15","0,09",BRC0074T,Nome não encontrado
Vitamina A (RE),mcg,"4,94","1,88","0,84","0,54","1,19","0,69",BRC0074T,Nome não encontrado
Vitamina A (RAE),mcg,"2,47","0,94","0,42","0,27","0,59","0,35",BRC0074T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,01","0,01","0,00","0,01","0,01",BRC0074T,Nome não encontrado
Tiamina,mg,"0,20","0,08","0,03","0,02","0,05","0,03",BRC0074T,Nome não encontrado
Riboflavina,mg,"0,06","0,02","0,01","0,01","0,01","0,01",BRC0074T,Nome não encontrado
Niacina,mg,"0,93","0,35","0,16","0,10","0,22","0,13",BRC0074T,Nome não encontrado
Vitamina B6,mg,"0,05","0,02","0,01","0,01","0,01","0,01",BRC0074T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Vitamina C,mg,"0,42","0,16","0,07","0,05","0,10","0,06",BRC0074T,Nome não encontrado
Equivalente de folato,mcg,"67,7","25,7","11,5","7,44","16,2","9,47",BRC0074T,Nome não encontrado
Sal de adição,g,"0,32","0,12","0,05","0,04","0,08","0,04",BRC0074T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0074T,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0074T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0074T,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0074T,Nome não encontrado
