componente,unidade,Valor por 100g,Colher sopa cheia (25 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,221,55,22,BRC0075C,Nome não encontrado
Energia,kcal,53,13,5,BRC0075C,Nome não encontrado
Umidade,g,"86,2","21,6","8,62",BRC0075C,Nome não encontrado
Carboidrato total,g,"10,5","2,62","1,05",BRC0075C,Nome não encontrado
Carboidrato disponível,g,"8,06","2,01","0,81",BRC0075C,Nome não encontrado
Proteína,g,"1,11","0,28","0,11",BRC0075C,Nome não encontrado
Lipídios,g,"1,25","0,31","0,12",BRC0075C,Nome não encontrado
Fibra alimentar,g,"2,42","0,61","0,24",BRC0075C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Cinzas,g,"0,93","0,23","0,09",BRC0075C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Ácidos graxos saturados,g,"0,52","0,13","0,05",BRC0075C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,26","0,07","0,03",BRC0075C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,13","0,03","0,01",BRC0075C,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0075C,Nome não encontrado
Cálcio,mg,"8,90","2,22","0,89",BRC0075C,Nome não encontrado
Ferro,mg,"0,40","0,10","0,04",BRC0075C,Nome não encontrado
Sódio,mg,"1,96","0,49","0,20",BRC0075C,Nome não encontrado
Magnésio,mg,"13,5","3,38","1,35",BRC0075C,Nome não encontrado
Fósforo,mg,"16,3","4,07","1,63",BRC0075C,Nome não encontrado
Potássio,mg,294,"73,5","29,4",BRC0075C,Nome não encontrado
Manganês,mg,"0,13","0,03","0,01",BRC0075C,Nome não encontrado
Zinco,mg,"0,35","0,09","0,03",BRC0075C,Nome não encontrado
Cobre,mg,"0,13","0,03","0,01",BRC0075C,Nome não encontrado
Selênio,mcg,"0,70","0,18","0,07",BRC0075C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0075C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0075C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0075C,Nome não encontrado
Tiamina,mg,"0,37","0,09","0,04",BRC0075C,Nome não encontrado
Riboflavina,mg,"0,04","0,01","0,00",BRC0075C,Nome não encontrado
Niacina,mg,"4,34","1,09","0,43",BRC0075C,Nome não encontrado
Vitamina B6,mg,"0,07","0,02","0,01",BRC0075C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Vitamina C,mg,"24,5","6,13","2,45",BRC0075C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0075C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
Proteína vegetal,g,"1,11","0,28","0,11",BRC0075C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0075C,Nome não encontrado
