componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,1756,351,175,BRC0076R,Nome não encontrado
Energia,kcal,415,83,41,BRC0076R,Nome não encontrado
Umidade,g,"1,00","0,20","0,10",BRC0076R,Nome não encontrado
Carboidrato total,g,"84,7","16,9","8,47",BRC0076R,Nome não encontrado
Carboidrato disponível,g,"83,0","16,6","8,30",BRC0076R,Nome não encontrado
Proteína,g,"6,16","1,23","0,62",BRC0076R,Nome não encontrado
Lipídios,g,"6,13","1,23","0,61",BRC0076R,Nome não encontrado
Fibra alimentar,g,"1,70","0,34","0,17",BRC0076R,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0076R,Nome não encontrado
Cinzas,g,"2,00","0,40","0,20",BRC0076R,Nome não encontrado
Colesterol,mg,traços,traços,traços,BRC0076R,Nome não encontrado
Ácidos graxos saturados,g,"2,10","0,42","0,21",BRC0076R,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,89","0,38","0,19",BRC0076R,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,81","0,16","0,08",BRC0076R,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,02","0,01",BRC0076R,Nome não encontrado
Cálcio,mg,"58,9","11,8","5,89",BRC0076R,Nome não encontrado
Ferro,mg,"1,21","0,24","0,12",BRC0076R,Nome não encontrado
Sódio,mg,462,"92,6","46,3",BRC0076R,Nome não encontrado
Magnésio,mg,"27,9","5,58","2,79",BRC0076R,Nome não encontrado
Fósforo,mg,332,"66,5","33,3",BRC0076R,Nome não encontrado
Potássio,mg,"75,4","15,1","7,54",BRC0076R,Nome não encontrado
Manganês,mg,"0,46","0,09","0,05",BRC0076R,Nome não encontrado
Zinco,mg,"0,58","0,12","0,06",BRC0076R,Nome não encontrado
Cobre,mg,"0,15","0,03","0,02",BRC0076R,Nome não encontrado
Selênio,mcg,,,,BRC0076R,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0076R,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0076R,Nome não encontrado
Vitamina D,mcg,"4,75","0,95","0,48",BRC0076R,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0076R,Nome não encontrado
Tiamina,mg,"0,18","0,04","0,02",BRC0076R,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0076R,Nome não encontrado
Niacina,mg,"1,52","0,30","0,15",BRC0076R,Nome não encontrado
Vitamina B6,mg,"1,50","0,30","0,15",BRC0076R,Nome não encontrado
Vitamina B12,mcg,"0,10","0,02","0,01",BRC0076R,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0076R,Nome não encontrado
Equivalente de folato,mcg,"9,25","1,85","0,93",BRC0076R,Nome não encontrado
Sal de adição,g,,,,BRC0076R,Nome não encontrado
Açúcar de adição,g,,,,BRC0076R,Nome não encontrado
Gordura de adição,g,,,,BRC0076R,Nome não encontrado
Proteína vegetal,g,,,,BRC0076R,Nome não encontrado
Proteína animal,g,,,,BRC0076R,Nome não encontrado
