componente,unidade,Valor por 100g,Colher servir cheia (28 g),Colher servir rasa (18 g),codigo_alimento,nome_alimento
Energia,kJ,1133,317,203,BRC0081F,Nome não encontrado
Energia,kcal,273,76,49,BRC0081F,Nome não encontrado
Umidade,g,"42,0","11,8","7,56",BRC0081F,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Proteína,g,"22,3","6,24","4,01",BRC0081F,Nome não encontrado
Lipídios,g,"20,4","5,71","3,67",BRC0081F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Cinzas,g,"15,3","4,28","2,75",BRC0081F,Nome não encontrado
Colesterol,mg,"85,2","23,9","15,3",BRC0081F,Nome não encontrado
Ácidos graxos saturados,g,"9,70","2,72","1,75",BRC0081F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"7,50","2,10","1,35",BRC0081F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,06","0,04",BRC0081F,Nome não encontrado
Ácidos graxos trans,g,"0,80","0,22","0,14",BRC0081F,Nome não encontrado
Cálcio,mg,"14,1","3,95","2,54",BRC0081F,Nome não encontrado
Ferro,mg,"1,33","0,37","0,24",BRC0081F,Nome não encontrado
Sódio,mg,4439,1243,799,BRC0081F,Nome não encontrado
Magnésio,mg,"12,2","3,42","2,20",BRC0081F,Nome não encontrado
Fósforo,mg,100,"28,0","18,0",BRC0081F,Nome não encontrado
Potássio,mg,190,"53,2","34,2",BRC0081F,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0081F,Nome não encontrado
Zinco,mg,"3,65","1,02","0,66",BRC0081F,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Selênio,mcg,,,,BRC0081F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,BRC0081F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,BRC0081F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,99","1,12","0,72",BRC0081F,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01",BRC0081F,Nome não encontrado
Niacina,mg,"2,83","0,79","0,51",BRC0081F,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0081F,Nome não encontrado
Vitamina B12,mcg,"2,00","0,56","0,36",BRC0081F,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Equivalente de folato,mcg,"12,6","3,51","2,26",BRC0081F,Nome não encontrado
Sal de adição,g,,,,BRC0081F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0081F,Nome não encontrado
Proteína animal,g,"22,3","6,24","4,01",BRC0081F,Nome não encontrado
