componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,202,60,BRC0083B,Nome não encontrado
Energia,kcal,48,14,BRC0083B,Nome não encontrado
Umidade,g,"86,3","25,9",BRC0083B,Nome não encontrado
Carboidrato total,g,"7,69","2,31",BRC0083B,Nome não encontrado
Carboidrato disponível,g,"3,19","0,96",BRC0083B,Nome não encontrado
Proteína,g,"3,65","1,10",BRC0083B,Nome não encontrado
Lipídios,g,"1,34","0,40",BRC0083B,Nome não encontrado
Fibra alimentar,g,"4,50","1,35",BRC0083B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0083B,Nome não encontrado
Cinzas,g,"1,03","0,31",BRC0083B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0083B,Nome não encontrado
Ácidos graxos saturados,g,"0,29","0,09",BRC0083B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,15","0,04",BRC0083B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","0,17",BRC0083B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0083B,Nome não encontrado
Cálcio,mg,130,"39,2",BRC0083B,Nome não encontrado
Ferro,mg,"2,43","0,73",BRC0083B,Nome não encontrado
Sódio,mg,"1,48","0,44",BRC0083B,Nome não encontrado
Magnésio,mg,"37,7","11,3",BRC0083B,Nome não encontrado
Fósforo,mg,"67,3","20,2",BRC0083B,Nome não encontrado
Potássio,mg,370,111,BRC0083B,Nome não encontrado
Manganês,mg,"0,84","0,25",BRC0083B,Nome não encontrado
Zinco,mg,"0,81","0,24",BRC0083B,Nome não encontrado
Cobre,mg,"0,20","0,06",BRC0083B,Nome não encontrado
Selênio,mcg,"0,50","0,15",BRC0083B,Nome não encontrado
Vitamina A (RE),mcg,1176,352,BRC0083B,Nome não encontrado
Vitamina A (RAE),mcg,588,176,BRC0083B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0083B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,67","1,10",BRC0083B,Nome não encontrado
Tiamina,mg,traços,traços,BRC0083B,Nome não encontrado
Riboflavina,mg,"0,13","0,04",BRC0083B,Nome não encontrado
Niacina,mg,traços,traços,BRC0083B,Nome não encontrado
Vitamina B6,mg,"0,12","0,04",BRC0083B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0083B,Nome não encontrado
Vitamina C,mg,"22,9","6,86",BRC0083B,Nome não encontrado
Equivalente de folato,mcg,120,"36,1",BRC0083B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0083B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0083B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0083B,Nome não encontrado
Proteína vegetal,g,"3,65","1,10",BRC0083B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0083B,Nome não encontrado
