componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (20 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,362,199,72,126,BRC0084K,Nome não encontrado
Energia,kcal,85,46,17,29,BRC0084K,Nome não encontrado
Umidade,g,"43,2","23,8","8,64","15,1",BRC0084K,Nome não encontrado
Carboidrato total,g,"38,0","20,9","7,60","13,3",BRC0084K,Nome não encontrado
Carboidrato disponível,g,"37,9","20,9","7,59","13,3",BRC0084K,Nome não encontrado
Proteína,g,"5,91","3,25","1,18","2,07",BRC0084K,Nome não encontrado
Lipídios,g,"11,8","6,48","2,36","4,13",BRC0084K,Nome não encontrado
Fibra alimentar,g,"0,02","0,01","0,00","0,01",BRC0084K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0084K,Nome não encontrado
Cinzas,g,"1,18","0,65","0,24","0,41",BRC0084K,Nome não encontrado
Colesterol,mg,"68,0","37,4","13,6","23,8",BRC0084K,Nome não encontrado
Ácidos graxos saturados,g,"6,23","3,43","1,25","2,18",BRC0084K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,99","1,65","0,60","1,05",BRC0084K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,45","0,25","0,09","0,16",BRC0084K,Nome não encontrado
Ácidos graxos trans,g,"0,26","0,15","0,05","0,09",BRC0084K,Nome não encontrado
Cálcio,mg,161,"89,1","32,4","56,7",BRC0084K,Nome não encontrado
Ferro,mg,"0,65","0,36","0,13","0,23",BRC0084K,Nome não encontrado
Sódio,mg,"93,7","51,5","18,7","32,8",BRC0084K,Nome não encontrado
Magnésio,mg,"16,6","9,16","3,33","5,83",BRC0084K,Nome não encontrado
Fósforo,mg,157,"86,7","31,5","55,2",BRC0084K,Nome não encontrado
Potássio,mg,221,121,"44,3","77,5",BRC0084K,Nome não encontrado
Manganês,mg,"0,03","0,02","0,01","0,01",BRC0084K,Nome não encontrado
Zinco,mg,"0,74","0,41","0,15","0,26",BRC0084K,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,01",BRC0084K,Nome não encontrado
Selênio,mcg,"9,44","5,19","1,89","3,30",BRC0084K,Nome não encontrado
Vitamina A (RE),mcg,116,"63,9","23,2","40,7",BRC0084K,Nome não encontrado
Vitamina A (RAE),mcg,114,"62,7","22,8","39,9",BRC0084K,Nome não encontrado
Vitamina D,mcg,"0,55","0,30","0,11","0,19",BRC0084K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,32","0,18","0,06","0,11",BRC0084K,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,01","0,02",BRC0084K,Nome não encontrado
Riboflavina,mg,"0,27","0,15","0,05","0,09",BRC0084K,Nome não encontrado
Niacina,mg,"0,89","0,49","0,18","0,31",BRC0084K,Nome não encontrado
Vitamina B6,mg,"0,16","0,09","0,03","0,05",BRC0084K,Nome não encontrado
Vitamina B12,mcg,"0,42","0,23","0,08","0,15",BRC0084K,Nome não encontrado
Vitamina C,mg,"0,43","0,24","0,09","0,15",BRC0084K,Nome não encontrado
Equivalente de folato,mcg,"21,6","11,9","4,33","7,58",BRC0084K,Nome não encontrado
Sal de adição,g,,,,,BRC0084K,Nome não encontrado
Açúcar de adição,g,,,,,BRC0084K,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0084K,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0084K,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0084K,Nome não encontrado
