componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,100,199,BRC0085H,Nome não encontrado
Energia,kcal,23,46,BRC0085H,Nome não encontrado
Umidade,g,"93,9",187,BRC0085H,Nome não encontrado
Carboidrato total,g,"3,65","7,29",BRC0085H,Nome não encontrado
Carboidrato disponível,g,"3,65","7,29",BRC0085H,Nome não encontrado
Proteína,g,"1,76","3,52",BRC0085H,Nome não encontrado
Lipídios,g,"0,21","0,42",BRC0085H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0085H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0085H,Nome não encontrado
Cinzas,g,"0,53","1,06",BRC0085H,Nome não encontrado
Colesterol,mg,"18,8","37,5",BRC0085H,Nome não encontrado
Ácidos graxos saturados,g,"0,13","0,26",BRC0085H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,02","0,04",BRC0085H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0085H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0085H,Nome não encontrado
Cálcio,mg,"68,6",137,BRC0085H,Nome não encontrado
Ferro,mg,"0,00","0,00",BRC0085H,Nome não encontrado
Sódio,mg,"26,1","52,3",BRC0085H,Nome não encontrado
Magnésio,mg,"9,01","18,0",BRC0085H,Nome não encontrado
Fósforo,mg,"46,7","93,5",BRC0085H,Nome não encontrado
Potássio,mg,132,265,BRC0085H,Nome não encontrado
Manganês,mg,"0,02","0,03",BRC0085H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0085H,Nome não encontrado
Cobre,mg,"0,01","0,02",BRC0085H,Nome não encontrado
Selênio,mcg,,,BRC0085H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0085H,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","9,00",BRC0085H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0085H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,07",BRC0085H,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0085H,Nome não encontrado
Riboflavina,mg,"0,16","0,33",BRC0085H,Nome não encontrado
Niacina,mg,"0,83","1,65",BRC0085H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0085H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,55",BRC0085H,Nome não encontrado
Vitamina C,mg,traços,,BRC0085H,Nome não encontrado
Equivalente de folato,mcg,"3,55","7,09",BRC0085H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0085H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0085H,Nome não encontrado
Gordura de adição,g,-,-,BRC0085H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0085H,Nome não encontrado
Proteína animal,g,-,-,BRC0085H,Nome não encontrado
