componente,unidade,Valor por 100g,Colher sopa cheia (15 g),Pedaço/ Unidade/ Fatia (M) (240 g),codigo_alimento,nome_alimento
Energia,kJ,260,38,623,BRC0086C,Nome não encontrado
Energia,kcal,61,9,146,BRC0086C,Nome não encontrado
Umidade,g,"84,0","12,6",201,BRC0086C,Nome não encontrado
Carboidrato total,g,"15,5","2,33","37,2",BRC0086C,Nome não encontrado
Carboidrato disponível,g,"14,7","2,20","35,2",BRC0086C,Nome não encontrado
Proteína,g,"0,40","0,06","0,97",BRC0086C,Nome não encontrado
Lipídios,g,traços,traços,traços,BRC0086C,Nome não encontrado
Fibra alimentar,g,"0,44","0,07","1,05",BRC0086C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Cinzas,g,"0,50","0,08","1,21",BRC0086C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Ácidos graxos saturados,g,,,,BRC0086C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,BRC0086C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,BRC0086C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Cálcio,mg,"4,75","0,71","11,4",BRC0086C,Nome não encontrado
Ferro,mg,"0,26","0,04","0,62",BRC0086C,Nome não encontrado
Sódio,mg,"0,59","0,09","1,42",BRC0086C,Nome não encontrado
Magnésio,mg,"12,7","1,91","30,5",BRC0086C,Nome não encontrado
Fósforo,mg,"40,3","6,04","96,6",BRC0086C,Nome não encontrado
Potássio,mg,484,"72,7",1162,BRC0086C,Nome não encontrado
Manganês,mg,"0,13","0,02","0,32",BRC0086C,Nome não encontrado
Zinco,mg,"0,67","0,10","1,61",BRC0086C,Nome não encontrado
Cobre,mg,"0,19","0,03","0,45",BRC0086C,Nome não encontrado
Selênio,mcg,,,,BRC0086C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0086C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0086C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0086C,Nome não encontrado
Tiamina,mg,"0,12","0,02","0,28",BRC0086C,Nome não encontrado
Riboflavina,mg,"0,17","0,03","0,41",BRC0086C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0086C,Nome não encontrado
Vitamina B6,mg,"0,05","0,01","0,12",BRC0086C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Vitamina C,mg,"8,12","1,22","19,5",BRC0086C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0086C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
Proteína vegetal,g,"0,40","0,06","0,97",BRC0086C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0086C,Nome não encontrado
