componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (10 g),Porção Média (30 g),codigo_alimento,nome_alimento
Energia,kJ,1246,124,373,BRC0087C,Nome não encontrado
Energia,kcal,294,29,88,BRC0087C,Nome não encontrado
Umidade,g,"22,0","2,20","6,59",BRC0087C,Nome não encontrado
Carboidrato total,g,"72,5","7,25","21,8",BRC0087C,Nome não encontrado
Carboidrato disponível,g,"66,1","6,61","19,8",BRC0087C,Nome não encontrado
Proteína,g,"3,21","0,32","0,96",BRC0087C,Nome não encontrado
Lipídios,g,"0,46","0,05","0,14",BRC0087C,Nome não encontrado
Fibra alimentar,g,"6,45","0,64","1,93",BRC0087C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Cinzas,g,"1,86","0,19","0,56",BRC0087C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,01","0,03",BRC0087C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,02","0,06",BRC0087C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0087C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Cálcio,mg,"37,1","3,71","11,1",BRC0087C,Nome não encontrado
Ferro,mg,"0,55","0,06","0,17",BRC0087C,Nome não encontrado
Sódio,mg,"0,36","0,04","0,11",BRC0087C,Nome não encontrado
Magnésio,mg,"59,1","5,91","17,7",BRC0087C,Nome não encontrado
Fósforo,mg,"54,6","5,46","16,4",BRC0087C,Nome não encontrado
Potássio,mg,722,"72,3",216,BRC0087C,Nome não encontrado
Manganês,mg,"0,34","0,03","0,10",BRC0087C,Nome não encontrado
Zinco,mg,"0,67","0,07","0,20",BRC0087C,Nome não encontrado
Cobre,mg,"0,30","0,03","0,09",BRC0087C,Nome não encontrado
Selênio,mcg,,,,BRC0087C,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0087C,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0087C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0087C,Nome não encontrado
Tiamina,mg,"0,31","0,03","0,09",BRC0087C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0087C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0087C,Nome não encontrado
Vitamina B6,mg,"0,10","0,01","0,03",BRC0087C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Vitamina C,mg,"7,25","0,72","2,17",BRC0087C,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0087C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
Proteína vegetal,g,"3,21","0,32","0,96",BRC0087C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0087C,Nome não encontrado
