componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (25 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,458,251,114,160,BRC0087G,Nome não encontrado
Energia,kcal,110,60,27,38,BRC0087G,Nome não encontrado
Umidade,g,"81,0","44,5","20,2","28,3",BRC0087G,Nome não encontrado
Carboidrato total,g,"7,00","3,85","1,75","2,45",BRC0087G,Nome não encontrado
Carboidrato disponível,g,"6,31","3,47","1,58","2,21",BRC0087G,Nome não encontrado
Proteína,g,"2,95","1,62","0,74","1,03",BRC0087G,Nome não encontrado
Lipídios,g,"7,97","4,38","1,99","2,79",BRC0087G,Nome não encontrado
Fibra alimentar,g,"0,69","0,38","0,17","0,24",BRC0087G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0087G,Nome não encontrado
Cinzas,g,"0,79","0,43","0,20","0,28",BRC0087G,Nome não encontrado
Colesterol,mg,"7,32","4,03","1,83","2,56",BRC0087G,Nome não encontrado
Ácidos graxos saturados,g,"1,96","1,08","0,49","0,68",BRC0087G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,34","2,94","1,33","1,87",BRC0087G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,83","0,45","0,21","0,29",BRC0087G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0087G,Nome não encontrado
Cálcio,mg,147,"81,0","36,8","51,6",BRC0087G,Nome não encontrado
Ferro,mg,"0,61","0,34","0,15","0,21",BRC0087G,Nome não encontrado
Sódio,mg,176,"97,2","44,2","61,9",BRC0087G,Nome não encontrado
Magnésio,mg,"13,9","7,62","3,47","4,85",BRC0087G,Nome não encontrado
Fósforo,mg,"85,8","47,2","21,4","30,0",BRC0087G,Nome não encontrado
Potássio,mg,235,129,"58,9","82,5",BRC0087G,Nome não encontrado
Manganês,mg,"0,20","0,11","0,05","0,07",BRC0087G,Nome não encontrado
Zinco,mg,"0,40","0,22","0,10","0,14",BRC0087G,Nome não encontrado
Cobre,mg,"0,08","0,04","0,02","0,03",BRC0087G,Nome não encontrado
Selênio,mcg,"1,15","0,63","0,29","0,40",BRC0087G,Nome não encontrado
Vitamina A (RE),mcg,"84,1","46,3","21,0","29,5",BRC0087G,Nome não encontrado
Vitamina A (RAE),mcg,"42,1","23,1","10,5","14,7",BRC0087G,Nome não encontrado
Vitamina D,mcg,"0,04","0,02","0,01","0,01",BRC0087G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,36","0,75","0,34","0,48",BRC0087G,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02","0,02",BRC0087G,Nome não encontrado
Riboflavina,mg,"0,14","0,08","0,04","0,05",BRC0087G,Nome não encontrado
Niacina,mg,"0,06","0,03","0,02","0,02",BRC0087G,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,02","0,03",BRC0087G,Nome não encontrado
Vitamina B12,mcg,"0,23","0,12","0,06","0,08",BRC0087G,Nome não encontrado
Vitamina C,mg,"10,2","5,62","2,55","3,57",BRC0087G,Nome não encontrado
Equivalente de folato,mcg,"18,3","10,1","4,57","6,40",BRC0087G,Nome não encontrado
Sal de adição,g,"0,32","0,18","0,08","0,11",BRC0087G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0087G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0087G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0087G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0087G,Nome não encontrado
