componente,unidade,Valor por 100g,Colher servir cheia (100 g),Colher servir rasa (80 g),Escumadeira cheia (170 g),Pedaço/ Unidade/ Fatia (M) (190 g),codigo_alimento,nome_alimento
Energia,kJ,586,586,468,996,1113,BRC0087N,Nome não encontrado
Energia,kcal,139,139,111,236,264,BRC0087N,Nome não encontrado
Umidade,g,"67,0","67,0","53,6",113,127,BRC0087N,Nome não encontrado
Carboidrato total,g,"18,1","18,1","14,5","30,8","34,5",BRC0087N,Nome não encontrado
Carboidrato disponível,g,"16,8","16,8","13,5","28,6","32,0",BRC0087N,Nome não encontrado
Proteína,g,"9,86","9,86","7,89","16,8","18,7",BRC0087N,Nome não encontrado
Lipídios,g,"3,30","3,30","2,64","5,60","6,26",BRC0087N,Nome não encontrado
Fibra alimentar,g,"1,32","1,32","1,06","2,24","2,51",BRC0087N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0087N,Nome não encontrado
Cinzas,g,"1,67","1,67","1,34","2,84","3,17",BRC0087N,Nome não encontrado
Colesterol,mg,"30,0","30,0","24,0","51,0","57,0",BRC0087N,Nome não encontrado
Ácidos graxos saturados,g,"1,30","1,30","1,04","2,20","2,46",BRC0087N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,96","0,96","0,77","1,63","1,82",BRC0087N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,78","0,62","1,32","1,48",BRC0087N,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,05","0,04","0,08","0,09",BRC0087N,Nome não encontrado
Cálcio,mg,"46,3","46,3","37,1","78,7","88,0",BRC0087N,Nome não encontrado
Ferro,mg,"1,15","1,15","0,92","1,95","2,18",BRC0087N,Nome não encontrado
Sódio,mg,417,417,334,710,793,BRC0087N,Nome não encontrado
Magnésio,mg,"8,75","8,75","7,00","14,9","16,6",BRC0087N,Nome não encontrado
Fósforo,mg,"86,4","86,4","69,2",146,164,BRC0087N,Nome não encontrado
Potássio,mg,138,138,110,235,263,BRC0087N,Nome não encontrado
Manganês,mg,"0,12","0,12","0,09","0,20","0,22",BRC0087N,Nome não encontrado
Zinco,mg,"0,46","0,46","0,37","0,79","0,88",BRC0087N,Nome não encontrado
Cobre,mg,"0,06","0,06","0,05","0,11","0,12",BRC0087N,Nome não encontrado
Selênio,mcg,"3,47","3,47","2,78","5,90","6,59",BRC0087N,Nome não encontrado
Vitamina A (RE),mcg,"29,9","29,9","23,9","50,8","56,7",BRC0087N,Nome não encontrado
Vitamina A (RAE),mcg,"27,8","27,8","22,2","47,2","52,7",BRC0087N,Nome não encontrado
Vitamina D,mcg,"0,06","0,06","0,05","0,10","0,12",BRC0087N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,33","0,26","0,56","0,63",BRC0087N,Nome não encontrado
Tiamina,mg,"0,06","0,06","0,05","0,10","0,11",BRC0087N,Nome não encontrado
Riboflavina,mg,"0,03","0,03","0,02","0,05","0,05",BRC0087N,Nome não encontrado
Niacina,mg,"3,12","3,12","2,50","5,30","5,93",BRC0087N,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,02","0,02",BRC0087N,Nome não encontrado
Vitamina B12,mcg,"0,09","0,09","0,07","0,15","0,17",BRC0087N,Nome não encontrado
Vitamina C,mg,"3,98","3,98","3,18","6,76","7,55",BRC0087N,Nome não encontrado
Equivalente de folato,mcg,"50,1","50,1","40,1","85,2","95,3",BRC0087N,Nome não encontrado
Sal de adição,g,"0,47","0,47","0,38","0,80","0,89",BRC0087N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0087N,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0087N,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0087N,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0087N,Nome não encontrado
