componente,unidade,Valor por 100g,Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,865,1427,BRC0088H,Nome não encontrado
Energia,kcal,207,340,BRC0088H,Nome não encontrado
Umidade,g,"60,2","99,3",BRC0088H,Nome não encontrado
Carboidrato total,g,"23,2","38,3",BRC0088H,Nome não encontrado
Carboidrato disponível,g,"23,1","38,1",BRC0088H,Nome não encontrado
Proteína,g,"3,27","5,40",BRC0088H,Nome não encontrado
Lipídios,g,"6,37","10,5",BRC0088H,Nome não encontrado
Fibra alimentar,g,"0,14","0,23",BRC0088H,Nome não encontrado
Álcool,g,"6,22","10,3",BRC0088H,Nome não encontrado
Cinzas,g,"0,74","1,23",BRC0088H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0088H,Nome não encontrado
Ácidos graxos saturados,g,"4,80","7,92",BRC0088H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,86","1,42",BRC0088H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,20",BRC0088H,Nome não encontrado
Ácidos graxos trans,g,"0,09","0,15",BRC0088H,Nome não encontrado
Cálcio,mg,"99,7",164,BRC0088H,Nome não encontrado
Ferro,mg,"0,14","0,23",BRC0088H,Nome não encontrado
Sódio,mg,"47,0","77,6",BRC0088H,Nome não encontrado
Magnésio,mg,"12,2","20,1",BRC0088H,Nome não encontrado
Fósforo,mg,"80,0",131,BRC0088H,Nome não encontrado
Potássio,mg,160,264,BRC0088H,Nome não encontrado
Manganês,mg,"0,06","0,10",BRC0088H,Nome não encontrado
Zinco,mg,"0,41","0,67",BRC0088H,Nome não encontrado
Cobre,mg,"0,10","0,16",BRC0088H,Nome não encontrado
Selênio,mcg,"6,09","10,0",BRC0088H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0088H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0088H,Nome não encontrado
Vitamina D,mcg,"0,06","0,10",BRC0088H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,12",BRC0088H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0088H,Nome não encontrado
Riboflavina,mg,"0,13","0,22",BRC0088H,Nome não encontrado
Niacina,mg,traços,traços,BRC0088H,Nome não encontrado
Vitamina B6,mg,"0,23","0,38",BRC0088H,Nome não encontrado
Vitamina B12,mcg,"0,18","0,29",BRC0088H,Nome não encontrado
Vitamina C,mg,"0,86","1,41",BRC0088H,Nome não encontrado
Equivalente de folato,mcg,"6,59","10,9",BRC0088H,Nome não encontrado
Sal de adição,g,,,BRC0088H,Nome não encontrado
Açúcar de adição,g,,,BRC0088H,Nome não encontrado
Gordura de adição,g,-,-,BRC0088H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0088H,Nome não encontrado
Proteína animal,g,-,-,BRC0088H,Nome não encontrado
