componente,unidade,Valor por 100g,Colher servir cheia (60 g),codigo_alimento,nome_alimento
Energia,kJ,838,502,BRC0088K,Nome não encontrado
Energia,kcal,1969,1181,BRC0088K,Nome não encontrado
Umidade,g,"55,9","33,5",BRC0088K,Nome não encontrado
Carboidrato total,g,"35,8","21,5",BRC0088K,Nome não encontrado
Carboidrato disponível,g,"34,8","20,9",BRC0088K,Nome não encontrado
Proteína,g,"1,99","1,19",BRC0088K,Nome não encontrado
Lipídios,g,"5,55","3,33",BRC0088K,Nome não encontrado
Fibra alimentar,g,"1,03","0,62",BRC0088K,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0088K,Nome não encontrado
Cinzas,g,"0,78","0,47",BRC0088K,Nome não encontrado
Colesterol,mg,"5,94","3,56",BRC0088K,Nome não encontrado
Ácidos graxos saturados,g,"4,04","2,42",BRC0088K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","0,41",BRC0088K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09",BRC0088K,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0088K,Nome não encontrado
Cálcio,mg,"57,6","34,6",BRC0088K,Nome não encontrado
Ferro,mg,"0,26","0,16",BRC0088K,Nome não encontrado
Sódio,mg,"39,0","23,4",BRC0088K,Nome não encontrado
Magnésio,mg,"13,0","7,80",BRC0088K,Nome não encontrado
Fósforo,mg,"53,2","31,9",BRC0088K,Nome não encontrado
Potássio,mg,169,101,BRC0088K,Nome não encontrado
Manganês,mg,"0,09","0,05",BRC0088K,Nome não encontrado
Zinco,mg,"0,34","0,20",BRC0088K,Nome não encontrado
Cobre,mg,"0,07","0,04",BRC0088K,Nome não encontrado
Selênio,mcg,"3,19","1,91",BRC0088K,Nome não encontrado
Vitamina A (RE),mcg,"23,8","14,3",BRC0088K,Nome não encontrado
Vitamina A (RAE),mcg,"27,1","16,3",BRC0088K,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0088K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,06",BRC0088K,Nome não encontrado
Tiamina,mg,"0,02","0,01",BRC0088K,Nome não encontrado
Riboflavina,mg,"0,13","0,08",BRC0088K,Nome não encontrado
Niacina,mg,"0,88","0,53",BRC0088K,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0088K,Nome não encontrado
Vitamina B12,mcg,"0,13","0,08",BRC0088K,Nome não encontrado
Vitamina C,mg,"0,18","0,11",BRC0088K,Nome não encontrado
Equivalente de folato,mcg,"5,40","3,24",BRC0088K,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0088K,Nome não encontrado
Açúcar de adição,g,"20,0","12,0",BRC0088K,Nome não encontrado
Gordura de adição,g,-,-,BRC0088K,Nome não encontrado
Proteína vegetal,g,-,-,BRC0088K,Nome não encontrado
Proteína animal,g,-,-,BRC0088K,Nome não encontrado
