componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Pedaço/ Unidade/ Fatia (M) (15 g),Porção Média (45 g),codigo_alimento,nome_alimento
Energia,kJ,157,31,23,70,BRC0089C,Nome não encontrado
Energia,kcal,37,7,5,16,BRC0089C,Nome não encontrado
Umidade,g,"89,3","17,9","13,4","40,2",BRC0089C,Nome não encontrado
Carboidrato total,g,"9,44","1,89","1,42","4,25",BRC0089C,Nome não encontrado
Carboidrato disponível,g,"7,46","1,49","1,12","3,36",BRC0089C,Nome não encontrado
Proteína,g,"0,84","0,17","0,13","0,38",BRC0089C,Nome não encontrado
Lipídios,g,traços,traços,traços,traços,BRC0089C,Nome não encontrado
Fibra alimentar,g,"1,98","0,40","0,30","0,89",BRC0089C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Cinzas,g,"0,47","0,09","0,07","0,21",BRC0089C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Ácidos graxos saturados,g,,,,,BRC0089C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,,BRC0089C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,,BRC0089C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Cálcio,mg,"11,6","2,31","1,73","5,20",BRC0089C,Nome não encontrado
Ferro,mg,"0,09","0,02","0,01","0,04",BRC0089C,Nome não encontrado
Sódio,mg,traços,traços,traços,traços,BRC0089C,Nome não encontrado
Magnésio,mg,"11,3","2,27","1,70","5,11",BRC0089C,Nome não encontrado
Fósforo,mg,"13,4","2,68","2,01","6,02",BRC0089C,Nome não encontrado
Potássio,mg,151,"30,4","22,8","68,3",BRC0089C,Nome não encontrado
Manganês,mg,"0,03","0,01","0,00","0,01",BRC0089C,Nome não encontrado
Zinco,mg,"0,42","0,08","0,06","0,19",BRC0089C,Nome não encontrado
Cobre,mg,"0,04","0,01","0,01","0,02",BRC0089C,Nome não encontrado
Selênio,mcg,,,,,BRC0089C,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0089C,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0089C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,BRC0089C,Nome não encontrado
Tiamina,mg,"0,05","0,01","0,01","0,02",BRC0089C,Nome não encontrado
Riboflavina,mg,"0,06","0,01","0,01","0,03",BRC0089C,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0089C,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00","0,01",BRC0089C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Vitamina C,mg,"24,1","4,81","3,61","10,8",BRC0089C,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0089C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
Proteína vegetal,g,"0,84","0,17","0,13","0,38",BRC0089C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0089C,Nome não encontrado
