componente,unidade,Valor por 100g,Colher servir cheia (20 mL),codigo_alimento,nome_alimento
Energia,kJ,1381,276,BRC0090L,Nome não encontrado
Energia,kcal,335,67,BRC0090L,Nome não encontrado
Umidade,g,"59,2","11,8",BRC0090L,Nome não encontrado
Carboidrato total,g,"4,34","0,87",BRC0090L,Nome não encontrado
Carboidrato disponível,g,"3,76","0,75",BRC0090L,Nome não encontrado
Proteína,g,"0,78","0,16",BRC0090L,Nome não encontrado
Lipídios,g,"35,1","7,02",BRC0090L,Nome não encontrado
Fibra alimentar,g,"0,58","0,12",BRC0090L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0090L,Nome não encontrado
Cinzas,g,"0,56","0,11",BRC0090L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0090L,Nome não encontrado
Ácidos graxos saturados,g,"5,23","1,05",BRC0090L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"26,4","5,28",BRC0090L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,36","0,67",BRC0090L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0090L,Nome não encontrado
Cálcio,mg,"50,6","10,1",BRC0090L,Nome não encontrado
Ferro,mg,"0,93","0,19",BRC0090L,Nome não encontrado
Sódio,mg,"2,86","0,57",BRC0090L,Nome não encontrado
Magnésio,mg,"6,87","1,37",BRC0090L,Nome não encontrado
Fósforo,mg,"16,6","3,32",BRC0090L,Nome não encontrado
Potássio,mg,221,"44,2",BRC0090L,Nome não encontrado
Manganês,mg,"0,61","0,12",BRC0090L,Nome não encontrado
Zinco,mg,"0,77","0,15",BRC0090L,Nome não encontrado
Cobre,mg,"0,05","0,01",BRC0090L,Nome não encontrado
Selênio,mcg,"0,19","0,04",BRC0090L,Nome não encontrado
Vitamina A (RE),mcg,250,"50,0",BRC0090L,Nome não encontrado
Vitamina A (RAE),mcg,125,"25,0",BRC0090L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0090L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"6,55","1,31",BRC0090L,Nome não encontrado
Tiamina,mg,"0,03","0,01",BRC0090L,Nome não encontrado
Riboflavina,mg,"0,04","0,01",BRC0090L,Nome não encontrado
Niacina,mg,"0,19","0,04",BRC0090L,Nome não encontrado
Vitamina B6,mg,"0,15","0,03",BRC0090L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0090L,Nome não encontrado
Vitamina C,mg,"13,7","2,74",BRC0090L,Nome não encontrado
Equivalente de folato,mcg,"37,0","7,40",BRC0090L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0090L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0090L,Nome não encontrado
Gordura de adição,g,"35,0","7,00",BRC0090L,Nome não encontrado
Proteína vegetal,g,"0,78","0,16",BRC0090L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0090L,Nome não encontrado
