componente,unidade,Valor por 100g,Colher sopa cheia (20 mL),codigo_alimento,nome_alimento
Energia,kJ,1425,285,BRC0091L,Nome não encontrado
Energia,kcal,345,69,BRC0091L,Nome não encontrado
Umidade,g,"56,3","11,3",BRC0091L,Nome não encontrado
Carboidrato total,g,"6,62","1,32",BRC0091L,Nome não encontrado
Carboidrato disponível,g,"5,50","1,10",BRC0091L,Nome não encontrado
Proteína,g,"1,21","0,24",BRC0091L,Nome não encontrado
Lipídios,g,"35,2","7,04",BRC0091L,Nome não encontrado
Fibra alimentar,g,"1,11","0,22",BRC0091L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0091L,Nome não encontrado
Cinzas,g,"0,67","0,13",BRC0091L,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0091L,Nome não encontrado
Ácidos graxos saturados,g,"5,24","1,05",BRC0091L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"26,4","5,28",BRC0091L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,38","0,68",BRC0091L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0091L,Nome não encontrado
Cálcio,mg,"70,4","14,1",BRC0091L,Nome não encontrado
Ferro,mg,"0,92","0,18",BRC0091L,Nome não encontrado
Sódio,mg,"1,17","0,23",BRC0091L,Nome não encontrado
Magnésio,mg,"8,97","1,79",BRC0091L,Nome não encontrado
Fósforo,mg,"23,8","4,76",BRC0091L,Nome não encontrado
Potássio,mg,246,"49,2",BRC0091L,Nome não encontrado
Manganês,mg,"0,53","0,11",BRC0091L,Nome não encontrado
Zinco,mg,"0,44","0,09",BRC0091L,Nome não encontrado
Cobre,mg,"0,08","0,02",BRC0091L,Nome não encontrado
Selênio,mcg,"0,33","0,07",BRC0091L,Nome não encontrado
Vitamina A (RE),mcg,252,"50,4",BRC0091L,Nome não encontrado
Vitamina A (RAE),mcg,126,"25,2",BRC0091L,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0091L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"6,61","1,32",BRC0091L,Nome não encontrado
Tiamina,mg,"0,17","0,03",BRC0091L,Nome não encontrado
Riboflavina,mg,"0,06","0,01",BRC0091L,Nome não encontrado
Niacina,mg,"0,19","0,04",BRC0091L,Nome não encontrado
Vitamina B6,mg,"0,15","0,03",BRC0091L,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0091L,Nome não encontrado
Vitamina C,mg,"30,9","6,18",BRC0091L,Nome não encontrado
Equivalente de folato,mcg,"40,9","8,18",BRC0091L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0091L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0091L,Nome não encontrado
Gordura de adição,g,"35,0","7,00",BRC0091L,Nome não encontrado
Proteína vegetal,g,"1,21","0,24",BRC0091L,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0091L,Nome não encontrado
