componente,unidade,Valor por 100g,Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,330,264,BRC0091T,Nome não encontrado
Energia,kcal,79,63,BRC0091T,Nome não encontrado
Umidade,g,"77,7","62,2",BRC0091T,Nome não encontrado
Carboidrato total,g,"14,6","11,7",BRC0091T,Nome não encontrado
Carboidrato disponível,g,"7,77","6,22",BRC0091T,Nome não encontrado
Proteína,g,"4,69","3,75",BRC0091T,Nome não encontrado
Lipídios,g,"1,72","1,37",BRC0091T,Nome não encontrado
Fibra alimentar,g,"6,84","5,47",BRC0091T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0091T,Nome não encontrado
Cinzas,g,"1,30","1,04",BRC0091T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0091T,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,22",BRC0091T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,38","0,30",BRC0091T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,81",BRC0091T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00",BRC0091T,Nome não encontrado
Cálcio,mg,"28,2","22,6",BRC0091T,Nome não encontrado
Ferro,mg,"1,34","1,08",BRC0091T,Nome não encontrado
Sódio,mg,190,152,BRC0091T,Nome não encontrado
Magnésio,mg,"44,2","35,4",BRC0091T,Nome não encontrado
Fósforo,mg,"92,7","74,2",BRC0091T,Nome não encontrado
Potássio,mg,276,221,BRC0091T,Nome não encontrado
Manganês,mg,"0,30","0,24",BRC0091T,Nome não encontrado
Zinco,mg,"0,74","0,59",BRC0091T,Nome não encontrado
Cobre,mg,"0,20","0,16",BRC0091T,Nome não encontrado
Selênio,mcg,"0,05","0,04",BRC0091T,Nome não encontrado
Vitamina A (RE),mcg,"0,26","0,21",BRC0091T,Nome não encontrado
Vitamina A (RAE),mcg,"0,13","0,10",BRC0091T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0091T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,90","0,72",BRC0091T,Nome não encontrado
Tiamina,mg,"0,05","0,04",BRC0091T,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0091T,Nome não encontrado
Niacina,mg,traços,traços,BRC0091T,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0091T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0091T,Nome não encontrado
Vitamina C,mg,"0,45","0,36",BRC0091T,Nome não encontrado
Equivalente de folato,mcg,"94,3","75,4",BRC0091T,Nome não encontrado
Sal de adição,g,"0,47","0,38",BRC0091T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0091T,Nome não encontrado
Gordura de adição,g,-,-,BRC0091T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0091T,Nome não encontrado
Proteína animal,g,-,-,BRC0091T,Nome não encontrado
