componente,unidade,Valor por 100g,Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,685,685,BRC0092L,Nome não encontrado
Energia,kcal,165,165,BRC0092L,Nome não encontrado
Umidade,g,"73,0","73,0",BRC0092L,Nome não encontrado
Carboidrato total,g,"2,22","2,22",BRC0092L,Nome não encontrado
Carboidrato disponível,g,"2,22","2,22",BRC0092L,Nome não encontrado
Proteína,g,"11,8","11,8",BRC0092L,Nome não encontrado
Lipídios,g,"12,1","12,1",BRC0092L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0092L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0092L,Nome não encontrado
Cinzas,g,"0,93","0,93",BRC0092L,Nome não encontrado
Colesterol,mg,375,375,BRC0092L,Nome não encontrado
Ácidos graxos saturados,g,"3,58","3,58",BRC0092L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"4,38","4,38",BRC0092L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,33","2,33",BRC0092L,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,03",BRC0092L,Nome não encontrado
Cálcio,mg,"42,2","42,2",BRC0092L,Nome não encontrado
Ferro,mg,"1,86","1,86",BRC0092L,Nome não encontrado
Sódio,mg,168,168,BRC0092L,Nome não encontrado
Magnésio,mg,"11,2","11,2",BRC0092L,Nome não encontrado
Fósforo,mg,164,164,BRC0092L,Nome não encontrado
Potássio,mg,149,149,BRC0092L,Nome não encontrado
Manganês,mg,"0,00","0,00",BRC0092L,Nome não encontrado
Zinco,mg,"1,38","1,38",BRC0092L,Nome não encontrado
Cobre,mg,"0,06","0,06",BRC0092L,Nome não encontrado
Selênio,mcg,"15,6","15,6",BRC0092L,Nome não encontrado
Vitamina A (RE),mcg,165,165,BRC0092L,Nome não encontrado
Vitamina A (RAE),mcg,164,164,BRC0092L,Nome não encontrado
Vitamina D,mcg,"1,98","1,98",BRC0092L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,14","1,14",BRC0092L,Nome não encontrado
Tiamina,mg,traços,traços,BRC0092L,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0092L,Nome não encontrado
Niacina,mg,"0,71","0,71",BRC0092L,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0092L,Nome não encontrado
Vitamina B12,mcg,"0,86","0,86",BRC0092L,Nome não encontrado
Vitamina C,mg,traços,traços,BRC0092L,Nome não encontrado
Equivalente de folato,mcg,"33,5","33,5",BRC0092L,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0092L,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0092L,Nome não encontrado
Gordura de adição,g,"2,68","2,68",BRC0092L,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0092L,Nome não encontrado
Proteína animal,g,"11,8","11,8",BRC0092L,Nome não encontrado
