componente,unidade,Valor por 100g,Colher servir rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,646,323,BRC0093G,Nome não encontrado
Energia,kcal,156,77,BRC0093G,Nome não encontrado
Umidade,g,"72,3","36,2",BRC0093G,Nome não encontrado
Carboidrato total,g,"4,29","2,15",BRC0093G,Nome não encontrado
Carboidrato disponível,g,"4,17","2,08",BRC0093G,Nome não encontrado
Proteína,g,"11,1","5,53",BRC0093G,Nome não encontrado
Lipídios,g,"10,5","5,25",BRC0093G,Nome não encontrado
Fibra alimentar,g,"0,12","0,06",BRC0093G,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0093G,Nome não encontrado
Cinzas,g,"1,83","0,91",BRC0093G,Nome não encontrado
Colesterol,mg,116,"58,4",BRC0093G,Nome não encontrado
Ácidos graxos saturados,g,"3,22","1,61",BRC0093G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,18","1,09",BRC0093G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,77","1,39",BRC0093G,Nome não encontrado
Ácidos graxos trans,g,"0,16","0,08",BRC0093G,Nome não encontrado
Cálcio,mg,"59,4","29,7",BRC0093G,Nome não encontrado
Ferro,mg,"1,10","0,55",BRC0093G,Nome não encontrado
Sódio,mg,543,271,BRC0093G,Nome não encontrado
Magnésio,mg,"11,9","5,97",BRC0093G,Nome não encontrado
Fósforo,mg,137,"68,7",BRC0093G,Nome não encontrado
Potássio,mg,100,"50,1",BRC0093G,Nome não encontrado
Manganês,mg,"0,08","0,04",BRC0093G,Nome não encontrado
Zinco,mg,"0,56","0,28",BRC0093G,Nome não encontrado
Cobre,mg,"0,26","0,13",BRC0093G,Nome não encontrado
Selênio,mcg,"2,01","1,00",BRC0093G,Nome não encontrado
Vitamina A (RE),mcg,"48,3","24,1",BRC0093G,Nome não encontrado
Vitamina A (RAE),mcg,"38,5","19,2",BRC0093G,Nome não encontrado
Vitamina D,mcg,"0,24","0,12",BRC0093G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,01","0,51",BRC0093G,Nome não encontrado
Tiamina,mg,"0,01","0,00",BRC0093G,Nome não encontrado
Riboflavina,mg,"0,05","0,02",BRC0093G,Nome não encontrado
Niacina,mg,"0,11","0,06",BRC0093G,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0093G,Nome não encontrado
Vitamina B12,mcg,"0,68","0,34",BRC0093G,Nome não encontrado
Vitamina C,mg,"1,36","0,68",BRC0093G,Nome não encontrado
Equivalente de folato,mcg,"11,6","5,81",BRC0093G,Nome não encontrado
Sal de adição,g,"0,45","0,23",BRC0093G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0093G,Nome não encontrado
Gordura de adição,g,-,-,BRC0093G,Nome não encontrado
Proteína vegetal,g,-,-,BRC0093G,Nome não encontrado
Proteína animal,g,-,-,BRC0093G,Nome não encontrado
