componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,255,612,421,BRC0094N,Nome não encontrado
Energia,kcal,61,146,100,BRC0094N,Nome não encontrado
Umidade,g,"88,1",211,145,BRC0094N,Nome não encontrado
Carboidrato total,g,"4,80","11,5","7,92",BRC0094N,Nome não encontrado
Carboidrato disponível,g,"4,80","11,5","7,92",BRC0094N,Nome não encontrado
Proteína,g,"3,15","7,56","5,20",BRC0094N,Nome não encontrado
Lipídios,g,"3,25","7,80","5,36",BRC0094N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Cinzas,g,"0,70","1,68","1,16",BRC0094N,Nome não encontrado
Colesterol,mg,"10,00","24,0","16,5",BRC0094N,Nome não encontrado
Ácidos graxos saturados,g,"1,87","4,48","3,08",BRC0094N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,81","1,95","1,34",BRC0094N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,47","0,32",BRC0094N,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0094N,Nome não encontrado
Cálcio,mg,113,271,186,BRC0094N,Nome não encontrado
Ferro,mg,"0,03","0,07","0,05",BRC0094N,Nome não encontrado
Sódio,mg,"43,0",103,"71,0",BRC0094N,Nome não encontrado
Magnésio,mg,"10,00","24,0","16,5",BRC0094N,Nome não encontrado
Fósforo,mg,"84,0",201,138,BRC0094N,Nome não encontrado
Potássio,mg,132,316,217,BRC0094N,Nome não encontrado
Manganês,mg,,,,BRC0094N,Nome não encontrado
Zinco,mg,"0,37","0,89","0,61",BRC0094N,Nome não encontrado
Cobre,mg,"0,03","0,06","0,04",BRC0094N,Nome não encontrado
Selênio,mcg,"3,70","8,88","6,11",BRC0094N,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0094N,Nome não encontrado
Vitamina A (RAE),mcg,"46,0",110,"75,9",BRC0094N,Nome não encontrado
Vitamina D,mcg,"1,30","3,12","2,15",BRC0094N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,17","0,12",BRC0094N,Nome não encontrado
Tiamina,mg,"0,05","0,11","0,08",BRC0094N,Nome não encontrado
Riboflavina,mg,"0,17","0,41","0,28",BRC0094N,Nome não encontrado
Niacina,mg,"0,09","0,21","0,15",BRC0094N,Nome não encontrado
Vitamina B6,mg,"0,04","0,09","0,06",BRC0094N,Nome não encontrado
Vitamina B12,mcg,"0,45","1,08","0,74",BRC0094N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Equivalente de folato,mcg,"5,00","12,0","8,25",BRC0094N,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0094N,Nome não encontrado
Proteína animal,g,"3,15","7,56","5,20",BRC0094N,Nome não encontrado
