componente,unidade,Valor por 100g,Colher chá cheia (9.5 g),Colher chá rasa (4 g),Colher sobremesa cheia (26 g),Colher sobremesa rasa (11 g),Colher sopa cheia (34 g),Colher sopa rasa (22 g),codigo_alimento,nome_alimento
Energia,kJ,1236,117,49,321,135,420,271,BRC0096C,Nome não encontrado
Energia,kcal,291,27,11,75,32,99,64,BRC0096C,Nome não encontrado
Umidade,g,"24,8","2,35","0,99","6,44","2,73","8,43","5,45",BRC0096C,Nome não encontrado
Carboidrato total,g,"74,1","7,04","2,96","19,3","8,15","25,2","16,3",BRC0096C,Nome não encontrado
Carboidrato disponível,g,"70,4","6,69","2,82","18,3","7,74","23,9","15,5",BRC0096C,Nome não encontrado
Proteína,g,"0,58","0,06","0,02","0,15","0,06","0,20","0,13",BRC0096C,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Fibra alimentar,g,"3,73","0,35","0,15","0,97","0,41","1,27","0,82",BRC0096C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Cinzas,g,"0,52","0,05","0,02","0,13","0,06","0,18","0,11",BRC0096C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Ácidos graxos saturados,g,,,,,,,,BRC0096C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,,,,,BRC0096C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,,,,,BRC0096C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Cálcio,mg,"10,1","0,96","0,40","2,62","1,11","3,42","2,21",BRC0096C,Nome não encontrado
Ferro,mg,"0,40","0,04","0,02","0,10","0,04","0,14","0,09",BRC0096C,Nome não encontrado
Sódio,mg,"3,70","0,35","0,15","0,96","0,41","1,26","0,81",BRC0096C,Nome não encontrado
Magnésio,mg,"6,49","0,62","0,26","1,69","0,71","2,21","1,43",BRC0096C,Nome não encontrado
Fósforo,mg,"53,6","5,09","2,14","13,9","5,89","18,2","11,8",BRC0096C,Nome não encontrado
Potássio,mg,164,"15,7","6,59","42,8","18,1","56,0","36,3",BRC0096C,Nome não encontrado
Manganês,mg,"0,11","0,01","0,00","0,03","0,01","0,04","0,02",BRC0096C,Nome não encontrado
Zinco,mg,"0,09","0,01","0,00","0,02","0,01","0,03","0,02",BRC0096C,Nome não encontrado
Cobre,mg,"0,06","0,01","0,00","0,02","0,01","0,02","0,01",BRC0096C,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0096C,Nome não encontrado
Vitamina A (RE),mcg,"62,2","5,91","2,49","16,2","6,84","21,1","13,7",BRC0096C,Nome não encontrado
Vitamina A (RAE),mcg,"31,8","3,02","1,27","8,28","3,50","10,8","7,00",BRC0096C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,,,BRC0096C,Nome não encontrado
Tiamina,mg,"0,07","0,01","0,00","0,02","0,01","0,02","0,02",BRC0096C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0096C,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,traços,BRC0096C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,traços,traços,BRC0096C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Vitamina C,mg,"23,1","2,19","0,92","5,99","2,54","7,84","5,07",BRC0096C,Nome não encontrado
Equivalente de folato,mcg,,,,,,,,BRC0096C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0096C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
Proteína vegetal,g,"0,58","0,06","0,02","0,15","0,06","0,20","0,13",BRC0096C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0096C,Nome não encontrado
