componente,unidade,Valor por 100g,Colher café rasa (12 g),Colher sobremesa cheia (20 g),Colher sopa cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,912,109,182,364,BRC0098C,Nome não encontrado
Energia,kcal,215,25,42,85,BRC0098C,Nome não encontrado
Umidade,g,"45,5","5,46","9,11","18,2",BRC0098C,Nome não encontrado
Carboidrato total,g,"54,0","6,48","10,8","21,6",BRC0098C,Nome não encontrado
Carboidrato disponível,g,"52,7","6,32","10,5","21,1",BRC0098C,Nome não encontrado
Proteína,g,"0,19","0,02","0,04","0,08",BRC0098C,Nome não encontrado
Lipídios,g,"0,07","0,01","0,01","0,03",BRC0098C,Nome não encontrado
Fibra alimentar,g,"1,31","0,16","0,26","0,53",BRC0098C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Cinzas,g,"0,21","0,02","0,04","0,08",BRC0098C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Ácidos graxos saturados,g,,,,,BRC0098C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,,,BRC0098C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,,,BRC0098C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Cálcio,mg,"20,0","2,40","4,00","8,01",BRC0098C,Nome não encontrado
Ferro,mg,"0,11","0,01","0,02","0,04",BRC0098C,Nome não encontrado
Sódio,mg,"2,91","0,35","0,58","1,17",BRC0098C,Nome não encontrado
Magnésio,mg,"5,81","0,70","1,16","2,33",BRC0098C,Nome não encontrado
Fósforo,mg,"4,48","0,54","0,90","1,79",BRC0098C,Nome não encontrado
Potássio,mg,"68,2","8,19","13,6","27,3",BRC0098C,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00","0,01",BRC0098C,Nome não encontrado
Zinco,mg,"0,07","0,01","0,01","0,03",BRC0098C,Nome não encontrado
Cobre,mg,"0,02","0,00","0,00","0,01",BRC0098C,Nome não encontrado
Selênio,mcg,,,,,BRC0098C,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0098C,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0098C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,BRC0098C,Nome não encontrado
Tiamina,mg,"0,03","0,00","0,01","0,01",BRC0098C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0098C,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0098C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0098C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Vitamina C,mg,"3,90","0,47","0,78","1,56",BRC0098C,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0098C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Açúcar de adição,g,,,,,BRC0098C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
Proteína vegetal,g,"0,19","0,02","0,04","0,08",BRC0098C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0098C,Nome não encontrado
