componente,unidade,Valor por 100g,Colher servir rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,507,304,BRC0104T,Nome não encontrado
Energia,kcal,120,72,BRC0104T,Nome não encontrado
Umidade,g,"65,7","39,4",BRC0104T,Nome não encontrado
Carboidrato total,g,"23,0","13,8",BRC0104T,Nome não encontrado
Carboidrato disponível,g,"16,8","10,1",BRC0104T,Nome não encontrado
Proteína,g,"8,85","5,31",BRC0104T,Nome não encontrado
Lipídios,g,"0,58","0,35",BRC0104T,Nome não encontrado
Fibra alimentar,g,"6,16","3,70",BRC0104T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0104T,Nome não encontrado
Cinzas,g,"1,84","1,10",BRC0104T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0104T,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,10",BRC0104T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,04","0,03",BRC0104T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,14",BRC0104T,Nome não encontrado
Ácidos graxos trans,g,,,BRC0104T,Nome não encontrado
Cálcio,mg,"14,1","8,48",BRC0104T,Nome não encontrado
Ferro,mg,"1,91","1,15",BRC0104T,Nome não encontrado
Sódio,mg,194,116,BRC0104T,Nome não encontrado
Magnésio,mg,135,"81,1",BRC0104T,Nome não encontrado
Fósforo,mg,122,"73,3",BRC0104T,Nome não encontrado
Potássio,mg,484,290,BRC0104T,Nome não encontrado
Manganês,mg,"1,06","0,64",BRC0104T,Nome não encontrado
Zinco,mg,"1,92","1,15",BRC0104T,Nome não encontrado
Cobre,mg,"0,37","0,22",BRC0104T,Nome não encontrado
Selênio,mcg,-,-,BRC0104T,Nome não encontrado
Vitamina A (RE),mcg,"0,33","0,20",BRC0104T,Nome não encontrado
Vitamina A (RAE),mcg,"0,17","0,10",BRC0104T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0104T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0104T,Nome não encontrado
Tiamina,mg,"0,17","0,10",BRC0104T,Nome não encontrado
Riboflavina,mg,"0,04","0,02",BRC0104T,Nome não encontrado
Niacina,mg,"0,71","0,42",BRC0104T,Nome não encontrado
Vitamina B6,mg,"0,04","0,02",BRC0104T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0104T,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0104T,Nome não encontrado
Equivalente de folato,mcg,"3,98","2,39",BRC0104T,Nome não encontrado
Sal de adição,g,"0,47","0,28",BRC0104T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0104T,Nome não encontrado
Gordura de adição,g,-,-,BRC0104T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0104T,Nome não encontrado
Proteína animal,g,-,-,BRC0104T,Nome não encontrado
