componente,unidade,Valor por 100g,Colher sopa cheia (5 g),Copo americano duplo (47 g),Copo americano pequeno (38 g),Pedaço/ Unidade/ Fatia (M) (30 g),Prato fundo (100 g),Prato raso (80 g),codigo_alimento,nome_alimento
Energia,kJ,1649,82,775,626,494,1649,1319,BRC0105A,Nome não encontrado
Energia,kcal,389,19,182,147,116,389,311,BRC0105A,Nome não encontrado
Umidade,g,"3,04","0,15","1,43","1,16","0,91","3,04","2,43",BRC0105A,Nome não encontrado
Carboidrato total,g,"86,8","4,34","40,8","33,0","26,0","86,8","69,4",BRC0105A,Nome não encontrado
Carboidrato disponível,g,"84,7","4,23","39,8","32,2","25,4","84,7","67,7",BRC0105A,Nome não encontrado
Proteína,g,"6,28","0,31","2,95","2,39","1,88","6,28","5,02",BRC0105A,Nome não encontrado
Lipídios,g,"2,33","0,12","1,10","0,89","0,70","2,33","1,86",BRC0105A,Nome não encontrado
Fibra alimentar,g,"2,15","0,11","1,01","0,82","0,65","2,15","1,72",BRC0105A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0105A,Nome não encontrado
Cinzas,g,"1,54","0,08","0,72","0,59","0,46","1,54","1,23",BRC0105A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0105A,Nome não encontrado
Ácidos graxos saturados,g,"0,80","0,04","0,38","0,31","0,24","0,80","0,64",BRC0105A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,00","0,05","0,47","0,38","0,30","1,00","0,80",BRC0105A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,15","0,06","0,54","0,44","0,35","1,15","0,92",BRC0105A,Nome não encontrado
Ácidos graxos trans,g,,,,,,,,BRC0105A,Nome não encontrado
Cálcio,mg,"57,1","2,86","26,9","21,7","17,1","57,1","45,7",BRC0105A,Nome não encontrado
Ferro,mg,"3,95","0,20","1,86","1,50","1,19","3,95","3,16",BRC0105A,Nome não encontrado
Sódio,mg,410,"20,5",192,155,123,410,328,BRC0105A,Nome não encontrado
Magnésio,mg,"8,04","0,40","3,78","3,06","2,41","8,04","6,43",BRC0105A,Nome não encontrado
Fósforo,mg,"43,7","2,19","20,6","16,6","13,1","43,7","35,0",BRC0105A,Nome não encontrado
Potássio,mg,"52,3","2,61","24,6","19,9","15,7","52,3","41,8",BRC0105A,Nome não encontrado
Manganês,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0105A,Nome não encontrado
Zinco,mg,"8,59","0,43","4,04","3,26","2,58","8,59","6,87",BRC0105A,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0105A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0105A,Nome não encontrado
Vitamina A (RE),mcg,108,"5,40","50,8","41,1","32,4",108,"86,4",BRC0105A,Nome não encontrado
Vitamina A (RAE),mcg,"54,0","2,70","25,4","20,5","16,2","54,0","43,2",BRC0105A,Nome não encontrado
Vitamina D,mcg,,,,,,,,BRC0105A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,01","0,08","0,07","0,05","0,17","0,14",BRC0105A,Nome não encontrado
Tiamina,mg,"0,74","0,04","0,35","0,28","0,22","0,74","0,59",BRC0105A,Nome não encontrado
Riboflavina,mg,"1,12","0,06","0,53","0,43","0,34","1,12","0,90",BRC0105A,Nome não encontrado
Niacina,mg,"10,3","0,51","4,82","3,90","3,08","10,3","8,21",BRC0105A,Nome não encontrado
Vitamina B6,mg,"0,80","0,04","0,37","0,30","0,24","0,80","0,64",BRC0105A,Nome não encontrado
Vitamina B12,mcg,,,,,,,,BRC0105A,Nome não encontrado
Vitamina C,mg,"14,7","0,74","6,93","5,60","4,42","14,7","11,8",BRC0105A,Nome não encontrado
Equivalente de folato,mcg,,,,,,,,BRC0105A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0105A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0105A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0105A,Nome não encontrado
Proteína vegetal,g,"6,28","0,31","2,95","2,39","1,88","6,28","5,02",BRC0105A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0105A,Nome não encontrado
