componente,unidade,Valor por 100g,Colher servir rasa (30 g),Colher sopa rasa (10 g),codigo_alimento,nome_alimento
Energia,kJ,354,106,35,BRC0105B,Nome não encontrado
Energia,kcal,86,25,8,BRC0105B,Nome não encontrado
Umidade,g,"83,6","25,1","8,36",BRC0105B,Nome não encontrado
Carboidrato total,g,"6,15","1,85","0,62",BRC0105B,Nome não encontrado
Carboidrato disponível,g,"1,08","0,32","0,11",BRC0105B,Nome não encontrado
Proteína,g,"1,68","0,50","0,17",BRC0105B,Nome não encontrado
Lipídios,g,"7,20","2,16","0,72",BRC0105B,Nome não encontrado
Fibra alimentar,g,"5,07","1,52","0,51",BRC0105B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Cinzas,g,"1,33","0,40","0,13",BRC0105B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Ácidos graxos saturados,g,"1,19","0,36","0,12",BRC0105B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,64","0,49","0,16",BRC0105B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,86","1,16","0,39",BRC0105B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,02","0,01",BRC0105B,Nome não encontrado
Cálcio,mg,"77,1","23,1","7,71",BRC0105B,Nome não encontrado
Ferro,mg,"1,89","0,57","0,19",BRC0105B,Nome não encontrado
Sódio,mg,"17,7","5,30","1,77",BRC0105B,Nome não encontrado
Magnésio,mg,"21,0","6,31","2,10",BRC0105B,Nome não encontrado
Fósforo,mg,"37,5","11,3","3,75",BRC0105B,Nome não encontrado
Potássio,mg,383,115,"38,3",BRC0105B,Nome não encontrado
Manganês,mg,"0,34","0,10","0,03",BRC0105B,Nome não encontrado
Zinco,mg,"0,23","0,07","0,02",BRC0105B,Nome não encontrado
Cobre,mg,"0,07","0,02","0,01",BRC0105B,Nome não encontrado
Selênio,mcg,,,,BRC0105B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0105B,Nome não encontrado
Vitamina A (RAE),mcg,,,,BRC0105B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0105B,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,00",BRC0105B,Nome não encontrado
Riboflavina,mg,"0,07","0,02","0,01",BRC0105B,Nome não encontrado
Niacina,mg,"4,91","1,47","0,49",BRC0105B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01",BRC0105B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Vitamina C,mg,"1,79","0,54","0,18",BRC0105B,Nome não encontrado
Equivalente de folato,mcg,,,,BRC0105B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0105B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0105B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0105B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0105B,Nome não encontrado
