componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,348,836,574,696,BRC0105G,Nome não encontrado
Energia,kcal,83,198,136,165,BRC0105G,Nome não encontrado
Umidade,g,"80,7",193,133,161,BRC0105G,Nome não encontrado
Carboidrato total,g,"13,8","33,2","22,8","27,7",BRC0105G,Nome não encontrado
Carboidrato disponível,g,"12,5","30,1","20,7","25,1",BRC0105G,Nome não encontrado
Proteína,g,"2,67","6,40","4,40","5,33",BRC0105G,Nome não encontrado
Lipídios,g,"2,15","5,15","3,54","4,29",BRC0105G,Nome não encontrado
Fibra alimentar,g,"1,29","3,09","2,13","2,58",BRC0105G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0105G,Nome não encontrado
Cinzas,g,"0,64","1,54","1,06","1,29",BRC0105G,Nome não encontrado
Colesterol,mg,"6,07","14,6","10,0","12,1",BRC0105G,Nome não encontrado
Ácidos graxos saturados,g,"1,09","2,63","1,81","2,19",BRC0105G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","1,57","1,08","1,31",BRC0105G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25","0,60","0,41","0,50",BRC0105G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0105G,Nome não encontrado
Cálcio,mg,"59,5",142,"98,2",119,BRC0105G,Nome não encontrado
Ferro,mg,"0,39","0,93","0,64","0,78",BRC0105G,Nome não encontrado
Sódio,mg,"32,0","76,8","52,8","64,0",BRC0105G,Nome não encontrado
Magnésio,mg,"17,3","41,5","28,5","34,5",BRC0105G,Nome não encontrado
Fósforo,mg,"55,3",132,"91,3",110,BRC0105G,Nome não encontrado
Potássio,mg,166,399,274,332,BRC0105G,Nome não encontrado
Manganês,mg,"0,14","0,34","0,23","0,28",BRC0105G,Nome não encontrado
Zinco,mg,"0,37","0,89","0,61","0,74",BRC0105G,Nome não encontrado
Cobre,mg,"0,24","0,58","0,40","0,48",BRC0105G,Nome não encontrado
Selênio,mcg,"2,41","5,79","3,98","4,82",BRC0105G,Nome não encontrado
Vitamina A (RE),mcg,"28,2","67,7","46,6","56,4",BRC0105G,Nome não encontrado
Vitamina A (RAE),mcg,"25,9","62,1","42,7","51,8",BRC0105G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0105G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,24","0,17","0,20",BRC0105G,Nome não encontrado
Tiamina,mg,"0,06","0,14","0,09","0,11",BRC0105G,Nome não encontrado
Riboflavina,mg,"0,13","0,30","0,21","0,25",BRC0105G,Nome não encontrado
Niacina,mg,"1,02","2,44","1,67","2,03",BRC0105G,Nome não encontrado
Vitamina B6,mg,"0,02","0,05","0,03","0,04",BRC0105G,Nome não encontrado
Vitamina B12,mcg,"0,18","0,44","0,30","0,37",BRC0105G,Nome não encontrado
Vitamina C,mg,"11,6","27,8","19,1","23,2",BRC0105G,Nome não encontrado
Equivalente de folato,mcg,"5,88","14,1","9,70","11,8",BRC0105G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0105G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0105G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0105G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0105G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0105G,Nome não encontrado
