componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 mL),codigo_alimento,nome_alimento
Energia,kJ,455,1091,750,909,BRC0106G,Nome não encontrado
Energia,kcal,108,258,177,215,BRC0106G,Nome não encontrado
Umidade,g,"74,3",178,122,148,BRC0106G,Nome não encontrado
Carboidrato total,g,"20,5","49,2","33,8","41,0",BRC0106G,Nome não encontrado
Carboidrato disponível,g,"19,3","46,2","31,8","38,5",BRC0106G,Nome não encontrado
Proteína,g,"2,54","6,09","4,19","5,08",BRC0106G,Nome não encontrado
Lipídios,g,"2,02","4,84","3,32","4,03",BRC0106G,Nome não encontrado
Fibra alimentar,g,"1,23","2,96","2,03","2,46",BRC0106G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0106G,Nome não encontrado
Cinzas,g,"0,64","1,55","1,06","1,29",BRC0106G,Nome não encontrado
Colesterol,mg,"5,58","13,4","9,21","11,2",BRC0106G,Nome não encontrado
Ácidos graxos saturados,g,"1,01","2,43","1,67","2,03",BRC0106G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,62","1,49","1,02","1,24",BRC0106G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,24","0,58","0,40","0,49",BRC0106G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0106G,Nome não encontrado
Cálcio,mg,"55,3",132,"91,2",110,BRC0106G,Nome não encontrado
Ferro,mg,"0,39","0,93","0,64","0,77",BRC0106G,Nome não encontrado
Sódio,mg,"30,4","72,9","50,1","60,7",BRC0106G,Nome não encontrado
Magnésio,mg,"16,5","39,6","27,2","33,0",BRC0106G,Nome não encontrado
Fósforo,mg,"51,7",123,"85,2",103,BRC0106G,Nome não encontrado
Potássio,mg,155,372,256,310,BRC0106G,Nome não encontrado
Manganês,mg,"0,14","0,33","0,23","0,28",BRC0106G,Nome não encontrado
Zinco,mg,"0,36","0,85","0,59","0,71",BRC0106G,Nome não encontrado
Cobre,mg,"0,22","0,54","0,37","0,45",BRC0106G,Nome não encontrado
Selênio,mcg,"2,26","5,43","3,73","4,53",BRC0106G,Nome não encontrado
Vitamina A (RE),mcg,"26,0","62,3","42,8","51,9",BRC0106G,Nome não encontrado
Vitamina A (RAE),mcg,"23,8","57,1","39,3","47,6",BRC0106G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0106G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,09","0,22","0,15","0,19",BRC0106G,Nome não encontrado
Tiamina,mg,"0,06","0,13","0,09","0,11",BRC0106G,Nome não encontrado
Riboflavina,mg,"0,12","0,28","0,19","0,23",BRC0106G,Nome não encontrado
Niacina,mg,"0,96","2,29","1,58","1,91",BRC0106G,Nome não encontrado
Vitamina B6,mg,"0,02","0,04","0,03","0,04",BRC0106G,Nome não encontrado
Vitamina B12,mcg,"0,17","0,40","0,28","0,34",BRC0106G,Nome não encontrado
Vitamina C,mg,"10,7","25,6","17,6","21,3",BRC0106G,Nome não encontrado
Equivalente de folato,mcg,"5,68","13,6","9,37","11,4",BRC0106G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0106G,Nome não encontrado
Açúcar de adição,g,"6,00","14,4","9,90","12,0",BRC0106G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0106G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0106G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0106G,Nome não encontrado
