componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Pedaço/ Unidade/ Fatia (M) (200 g),codigo_alimento,nome_alimento
Energia,kJ,271,649,446,541,BRC0107G,Nome não encontrado
Energia,kcal,64,154,106,128,BRC0107G,Nome não encontrado
Umidade,g,"85,9",206,141,171,BRC0107G,Nome não encontrado
Carboidrato total,g,"8,93","21,4","14,7","17,9",BRC0107G,Nome não encontrado
Carboidrato disponível,g,"8,29","19,9","13,7","16,6",BRC0107G,Nome não encontrado
Proteína,g,"2,21","5,30","3,65","4,42",BRC0107G,Nome não encontrado
Lipídios,g,"2,36","5,66","3,89","4,72",BRC0107G,Nome não encontrado
Fibra alimentar,g,"0,64","1,54","1,06","1,28",BRC0107G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0107G,Nome não encontrado
Cinzas,g,"0,58","1,38","0,95","1,15",BRC0107G,Nome não encontrado
Colesterol,mg,"8,66","20,8","14,3","17,3",BRC0107G,Nome não encontrado
Ácidos graxos saturados,g,"1,44","3,45","2,37","2,88",BRC0107G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,68","1,64","1,13","1,37",BRC0107G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,20","0,14","0,17",BRC0107G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0107G,Nome não encontrado
Cálcio,mg,"77,8",186,128,155,BRC0107G,Nome não encontrado
Ferro,mg,"0,09","0,21","0,15","0,18",BRC0107G,Nome não encontrado
Sódio,mg,"44,9",107,"74,1","89,8",BRC0107G,Nome não encontrado
Magnésio,mg,"9,42","22,6","15,5","18,8",BRC0107G,Nome não encontrado
Fósforo,mg,"61,1",146,100,122,BRC0107G,Nome não encontrado
Potássio,mg,144,346,238,288,BRC0107G,Nome não encontrado
Manganês,mg,"0,05","0,11","0,08","0,09",BRC0107G,Nome não encontrado
Zinco,mg,"0,30","0,71","0,49","0,59",BRC0107G,Nome não encontrado
Cobre,mg,"0,04","0,09","0,06","0,08",BRC0107G,Nome não encontrado
Selênio,mcg,"3,54","8,51","5,85","7,09",BRC0107G,Nome não encontrado
Vitamina A (RE),mcg,121,290,199,242,BRC0107G,Nome não encontrado
Vitamina A (RAE),mcg,"77,4",185,127,154,BRC0107G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0107G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27","0,66","0,45","0,55",BRC0107G,Nome não encontrado
Tiamina,mg,"0,04","0,09","0,06","0,08",BRC0107G,Nome não encontrado
Riboflavina,mg,"0,18","0,43","0,30","0,36",BRC0107G,Nome não encontrado
Niacina,mg,"1,06","2,55","1,76","2,13",BRC0107G,Nome não encontrado
Vitamina B6,mg,"0,01","0,02","0,01","0,02",BRC0107G,Nome não encontrado
Vitamina B12,mcg,"0,26","0,63","0,43","0,52",BRC0107G,Nome não encontrado
Vitamina C,mg,"9,09","21,8","15,0","18,2",BRC0107G,Nome não encontrado
Equivalente de folato,mcg,"17,0","40,9","28,1","34,1",BRC0107G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0107G,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0107G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0107G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0107G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0107G,Nome não encontrado
