componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,185,443,304,BRC0108C,Nome não encontrado
Energia,kcal,43,104,71,BRC0108C,Nome não encontrado
Umidade,g,"89,0",213,146,BRC0108C,Nome não encontrado
Carboidrato total,g,"10,5","25,3","17,4",BRC0108C,Nome não encontrado
Carboidrato disponível,g,"10,5","25,3","17,4",BRC0108C,Nome não encontrado
Proteína,g,"0,28","0,67","0,46",BRC0108C,Nome não encontrado
Lipídios,g,"0,03","0,06","0,04",BRC0108C,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Cinzas,g,"0,17","0,41","0,28",BRC0108C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0108C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0108C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,traços,BRC0108C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Cálcio,mg,"2,95","7,08","4,87",BRC0108C,Nome não encontrado
Ferro,mg,"0,01","0,02","0,01",BRC0108C,Nome não encontrado
Sódio,mg,"0,96","2,29","1,58",BRC0108C,Nome não encontrado
Magnésio,mg,"2,80","6,72","4,62",BRC0108C,Nome não encontrado
Fósforo,mg,"5,09","12,2","8,40",BRC0108C,Nome não encontrado
Potássio,mg,"54,5",130,"90,0",BRC0108C,Nome não encontrado
Manganês,mg,"0,01","0,03","0,02",BRC0108C,Nome não encontrado
Zinco,mg,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Cobre,mg,"0,00","0,01","0,01",BRC0108C,Nome não encontrado
Selênio,mcg,"0,16","0,37","0,26",BRC0108C,Nome não encontrado
Vitamina A (RE),mcg,"0,84","2,01","1,38",BRC0108C,Nome não encontrado
Vitamina A (RAE),mcg,"0,42","1,01","0,69",BRC0108C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0108C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0108C,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0108C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0108C,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0108C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Vitamina C,mg,"26,6","63,9","43,9",BRC0108C,Nome não encontrado
Equivalente de folato,mcg,"8,11","19,5","13,4",BRC0108C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0108C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0108C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0108C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0108C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0108C,Nome não encontrado
