componente,unidade,Valor por 100g,Colher servir rasa (35 g),Colher sopa rasa (12 g),Escumadeira rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,189,66,22,85,BRC0109B,Nome não encontrado
Energia,kcal,45,15,5,20,BRC0109B,Nome não encontrado
Umidade,g,"88,7","31,0","10,6","39,9",BRC0109B,Nome não encontrado
Carboidrato total,g,"7,56","2,65","0,91","3,40",BRC0109B,Nome não encontrado
Carboidrato disponível,g,"5,81","2,03","0,70","2,62",BRC0109B,Nome não encontrado
Proteína,g,"1,80","0,63","0,22","0,81",BRC0109B,Nome não encontrado
Lipídios,g,"1,24","0,43","0,15","0,56",BRC0109B,Nome não encontrado
Fibra alimentar,g,"1,75","0,61","0,21","0,79",BRC0109B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Cinzas,g,"0,70","0,24","0,08","0,31",BRC0109B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,07","0,02","0,09",BRC0109B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,28","0,10","0,03","0,13",BRC0109B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,68","0,24","0,08","0,31",BRC0109B,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,BRC0109B,Nome não encontrado
Cálcio,mg,"42,6","14,9","5,11","19,2",BRC0109B,Nome não encontrado
Ferro,mg,"0,47","0,16","0,06","0,21",BRC0109B,Nome não encontrado
Sódio,mg,"3,42","1,20","0,41","1,54",BRC0109B,Nome não encontrado
Magnésio,mg,"17,2","6,04","2,07","7,76",BRC0109B,Nome não encontrado
Fósforo,mg,"59,4","20,8","7,13","26,7",BRC0109B,Nome não encontrado
Potássio,mg,321,112,"38,6",144,BRC0109B,Nome não encontrado
Manganês,mg,"0,26","0,09","0,03","0,12",BRC0109B,Nome não encontrado
Zinco,mg,"0,26","0,09","0,03","0,12",BRC0109B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,00","0,01",BRC0109B,Nome não encontrado
Selênio,mcg,,,,,BRC0109B,Nome não encontrado
Vitamina A (RE),mcg,,,,,BRC0109B,Nome não encontrado
Vitamina A (RAE),mcg,,,,,BRC0109B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,BRC0109B,Nome não encontrado
Tiamina,mg,"0,07","0,02","0,01","0,03",BRC0109B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0109B,Nome não encontrado
Niacina,mg,"0,63","0,22","0,08","0,28",BRC0109B,Nome não encontrado
Vitamina B6,mg,"0,07","0,03","0,01","0,03",BRC0109B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Vitamina C,mg,"40,5","14,2","4,86","18,2",BRC0109B,Nome não encontrado
Equivalente de folato,mcg,,,,,BRC0109B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0109B,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0109B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0109B,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0109B,Nome não encontrado
