componente,unidade,Valor por 100g,Colher servir cheia (100 g),Colher sopa cheia (50 g),Escumadeira cheia (170 g),Pedaço/ Unidade/ Fatia (M) (190 g),codigo_alimento,nome_alimento
Energia,kJ,548,548,274,931,1041,BRC0114A,Nome não encontrado
Energia,kcal,131,130,65,222,248,BRC0114A,Nome não encontrado
Umidade,g,"73,0","73,0","36,5",124,138,BRC0114A,Nome não encontrado
Carboidrato total,g,"12,9","12,9","6,45","21,9","24,5",BRC0114A,Nome não encontrado
Carboidrato disponível,g,"11,4","11,4","5,70","19,4","21,6",BRC0114A,Nome não encontrado
Proteína,g,"6,94","6,94","3,47","11,8","13,2",BRC0114A,Nome não encontrado
Lipídios,g,"6,07","6,07","3,04","10,3","11,5",BRC0114A,Nome não encontrado
Fibra alimentar,g,"1,50","1,50","0,75","2,55","2,85",BRC0114A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0114A,Nome não encontrado
Cinzas,g,"1,12","1,12","0,56","1,90","2,12",BRC0114A,Nome não encontrado
Colesterol,mg,"21,0","21,0","10,5","35,7","39,9",BRC0114A,Nome não encontrado
Ácidos graxos saturados,g,"2,90","2,90","1,45","4,92","5,50",BRC0114A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,17","2,17","1,08","3,69","4,12",BRC0114A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,53","0,53","0,27","0,91","1,01",BRC0114A,Nome não encontrado
Ácidos graxos trans,g,,,traços,,,BRC0114A,Nome não encontrado
Cálcio,mg,"81,6","81,6","40,8",138,155,BRC0114A,Nome não encontrado
Ferro,mg,"0,66","0,66","0,33","1,12","1,25",BRC0114A,Nome não encontrado
Sódio,mg,345,345,172,588,657,BRC0114A,Nome não encontrado
Magnésio,mg,"18,6","18,6","9,28","31,5","35,2",BRC0114A,Nome não encontrado
Fósforo,mg,106,106,"53,3",181,202,BRC0114A,Nome não encontrado
Potássio,mg,181,181,"90,9",309,345,BRC0114A,Nome não encontrado
Manganês,mg,,,traços,,,BRC0114A,Nome não encontrado
Zinco,mg,"0,81","0,81","0,40","1,37","1,53",BRC0114A,Nome não encontrado
Cobre,mg,,,traços,,,BRC0114A,Nome não encontrado
Selênio,mcg,,,traços,,,BRC0114A,Nome não encontrado
Vitamina A (RE),mcg,,,traços,,,BRC0114A,Nome não encontrado
Vitamina A (RAE),mcg,"50,6","50,6","25,3","86,0","96,1",BRC0114A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0114A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,30","1,30","0,65","2,20","2,46",BRC0114A,Nome não encontrado
Tiamina,mg,"0,07","0,07","0,03","0,11","0,12",BRC0114A,Nome não encontrado
Riboflavina,mg,"0,08","0,08","0,04","0,14","0,16",BRC0114A,Nome não encontrado
Niacina,mg,"1,42","1,42","0,71","2,41","2,69",BRC0114A,Nome não encontrado
Vitamina B6,mg,"0,11","0,11","0,06","0,19","0,21",BRC0114A,Nome não encontrado
Vitamina B12,mcg,"0,38","0,38","0,19","0,65","0,72",BRC0114A,Nome não encontrado
Vitamina C,mg,"2,32","2,32","1,16","3,94","4,41",BRC0114A,Nome não encontrado
Equivalente de folato,mcg,"33,4","33,4","16,7","56,8","63,4",BRC0114A,Nome não encontrado
Sal de adição,g,,,traços,,,BRC0114A,Nome não encontrado
Açúcar de adição,g,,,traços,,,BRC0114A,Nome não encontrado
Gordura de adição,g,,,traços,,,BRC0114A,Nome não encontrado
Proteína vegetal,g,,,traços,,,BRC0114A,Nome não encontrado
Proteína animal,g,,,traços,,,BRC0114A,Nome não encontrado
