componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,183,36,27,BRC0115T,Nome não encontrado
Energia,kcal,44,8,6,BRC0115T,Nome não encontrado
Umidade,g,"90,3","18,1","13,6",BRC0115T,Nome não encontrado
Carboidrato total,g,"4,90","0,98","0,74",BRC0115T,Nome não encontrado
Carboidrato disponível,g,"2,63","0,53","0,39",BRC0115T,Nome não encontrado
Proteína,g,"1,56","0,31","0,23",BRC0115T,Nome não encontrado
Lipídios,g,"2,53","0,51","0,38",BRC0115T,Nome não encontrado
Fibra alimentar,g,"2,28","0,46","0,34",BRC0115T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0115T,Nome não encontrado
Cinzas,g,"0,67","0,13","0,10",BRC0115T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0115T,Nome não encontrado
Ácidos graxos saturados,g,"0,39","0,08","0,06",BRC0115T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","0,11","0,09",BRC0115T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,49","0,30","0,22",BRC0115T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0115T,Nome não encontrado
Cálcio,mg,"34,8","6,96","5,22",BRC0115T,Nome não encontrado
Ferro,mg,"0,29","0,06","0,04",BRC0115T,Nome não encontrado
Sódio,mg,127,"25,6","19,2",BRC0115T,Nome não encontrado
Magnésio,mg,"9,51","1,90","1,43",BRC0115T,Nome não encontrado
Fósforo,mg,"22,4","4,48","3,36",BRC0115T,Nome não encontrado
Potássio,mg,"92,5","18,5","13,9",BRC0115T,Nome não encontrado
Manganês,mg,"0,40","0,08","0,06",BRC0115T,Nome não encontrado
Zinco,mg,"0,22","0,04","0,03",BRC0115T,Nome não encontrado
Cobre,mg,"0,06","0,01","0,01",BRC0115T,Nome não encontrado
Selênio,mcg,"0,22","0,04","0,03",BRC0115T,Nome não encontrado
Vitamina A (RE),mcg,"22,4","4,49","3,36",BRC0115T,Nome não encontrado
Vitamina A (RAE),mcg,"11,2","2,24","1,68",BRC0115T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0115T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,54","0,11","0,08",BRC0115T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0115T,Nome não encontrado
Riboflavina,mg,"0,05","0,01","0,01",BRC0115T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0115T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0115T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0115T,Nome não encontrado
Vitamina C,mg,"0,67","0,13","0,10",BRC0115T,Nome não encontrado
Equivalente de folato,mcg,"18,2","3,64","2,73",BRC0115T,Nome não encontrado
Sal de adição,g,"0,32","0,06","0,05",BRC0115T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0115T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0115T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0115T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0115T,Nome não encontrado
