componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sopa cheia (25 g),Colher sopa rasa (15 g),Escumadeira cheia (65 g),codigo_alimento,nome_alimento
Energia,kJ,1036,518,362,259,155,673,BRC0118B,Nome não encontrado
Energia,kcal,248,124,86,62,37,161,BRC0118B,Nome não encontrado
Umidade,g,"49,0","24,5","17,2","12,3","7,35","31,9",BRC0118B,Nome não encontrado
Carboidrato total,g,"32,7","16,4","11,4","8,18","4,91","21,3",BRC0118B,Nome não encontrado
Carboidrato disponível,g,"29,5","14,8","10,3","7,38","4,43","19,2",BRC0118B,Nome não encontrado
Proteína,g,"4,04","2,02","1,41","1,01","0,61","2,63",BRC0118B,Nome não encontrado
Lipídios,g,"11,9","5,95","4,16","2,97","1,78","7,73",BRC0118B,Nome não encontrado
Fibra alimentar,g,"3,16","1,58","1,11","0,79","0,47","2,05",BRC0118B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0118B,Nome não encontrado
Cinzas,g,"2,34","1,17","0,82","0,59","0,35","1,52",BRC0118B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0118B,Nome não encontrado
Ácidos graxos saturados,g,"1,90","0,95","0,67","0,48","0,29","1,24",BRC0118B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,08","1,54","1,08","0,77","0,46","2,00",BRC0118B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"5,99","3,00","2,10","1,50","0,90","3,89",BRC0118B,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,03","0,02","0,02","0,01","0,04",BRC0118B,Nome não encontrado
Cálcio,mg,"5,78","2,89","2,02","1,45","0,87","3,76",BRC0118B,Nome não encontrado
Ferro,mg,"0,40","0,20","0,14","0,10","0,06","0,26",BRC0118B,Nome não encontrado
Sódio,mg,189,"94,5","66,2","47,3","28,4",122,BRC0118B,Nome não encontrado
Magnésio,mg,"12,8","6,38","4,47","3,19","1,91","8,29",BRC0118B,Nome não encontrado
Fósforo,mg,"63,0","31,5","22,0","15,7","9,44","40,9",BRC0118B,Nome não encontrado
Potássio,mg,442,221,154,110,"66,3",287,BRC0118B,Nome não encontrado
Manganês,mg,"0,13","0,07","0,05","0,03","0,02","0,08",BRC0118B,Nome não encontrado
Zinco,mg,"0,34","0,17","0,12","0,09","0,05","0,22",BRC0118B,Nome não encontrado
Cobre,mg,"0,09","0,05","0,03","0,02","0,01","0,06",BRC0118B,Nome não encontrado
Selênio,mcg,"0,78","0,39","0,27","0,20","0,12","0,51",BRC0118B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,traços,BRC0118B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,BRC0118B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0118B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,-,-,-,-,-,-,BRC0118B,Nome não encontrado
Tiamina,mg,"0,16","0,08","0,06","0,04","0,02","0,11",BRC0118B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0118B,Nome não encontrado
Niacina,mg,"2,26","1,13","0,79","0,57","0,34","1,47",BRC0118B,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,03","0,02","0,01","0,06",BRC0118B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0118B,Nome não encontrado
Vitamina C,mg,"14,8","7,39","5,17","3,69","2,22","9,60",BRC0118B,Nome não encontrado
Equivalente de folato,mcg,"5,64","2,82","1,97","1,41","0,85","3,66",BRC0118B,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,16","0,12","0,07","0,31",BRC0118B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0118B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0118B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0118B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0118B,Nome não encontrado
