componente,unidade,Valor por 100g,Colher sopa rasa (35 g),Concha cheia (120 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,581,203,697,464,BRC0121T,Nome não encontrado
Energia,kcal,138,48,165,110,BRC0121T,Nome não encontrado
Umidade,g,"67,7","23,7","81,2","54,2",BRC0121T,Nome não encontrado
Carboidrato total,g,"15,7","5,50","18,8","12,6",BRC0121T,Nome não encontrado
Carboidrato disponível,g,"10,7","3,75","12,8","8,56",BRC0121T,Nome não encontrado
Proteína,g,"9,36","3,28","11,2","7,49",BRC0121T,Nome não encontrado
Lipídios,g,"5,42","1,90","6,50","4,34",BRC0121T,Nome não encontrado
Fibra alimentar,g,"5,00","1,75","6,00","4,00",BRC0121T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0121T,Nome não encontrado
Cinzas,g,"1,87","0,65","2,24","1,50",BRC0121T,Nome não encontrado
Colesterol,mg,"11,0","3,85","13,2","8,80",BRC0121T,Nome não encontrado
Ácidos graxos saturados,g,"1,64","0,57","1,97","1,31",BRC0121T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,19","0,77","2,63","1,75",BRC0121T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,21","0,42","1,45","0,97",BRC0121T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,01","0,01",BRC0121T,Nome não encontrado
Cálcio,mg,"16,7","5,85","20,0","13,4",BRC0121T,Nome não encontrado
Ferro,mg,"1,55","0,54","1,86","1,24",BRC0121T,Nome não encontrado
Sódio,mg,373,130,447,298,BRC0121T,Nome não encontrado
Magnésio,mg,"22,5","7,88","27,0","18,0",BRC0121T,Nome não encontrado
Fósforo,mg,117,"41,0",140,"93,6",BRC0121T,Nome não encontrado
Potássio,mg,246,"86,1",295,196,BRC0121T,Nome não encontrado
Manganês,mg,"0,26","0,09","0,31","0,21",BRC0121T,Nome não encontrado
Zinco,mg,"1,45","0,51","1,74","1,16",BRC0121T,Nome não encontrado
Cobre,mg,"0,17","0,06","0,20","0,14",BRC0121T,Nome não encontrado
Selênio,mcg,"0,05","0,02","0,06","0,04",BRC0121T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0121T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0121T,Nome não encontrado
Vitamina D,mcg,"0,17","0,06","0,20","0,14",BRC0121T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,05","0,17","0,11",BRC0121T,Nome não encontrado
Tiamina,mg,"0,08","0,03","0,10","0,06",BRC0121T,Nome não encontrado
Riboflavina,mg,"0,03","0,01","0,04","0,02",BRC0121T,Nome não encontrado
Niacina,mg,"0,66","0,23","0,79","0,53",BRC0121T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,05","0,03",BRC0121T,Nome não encontrado
Vitamina B12,mcg,"0,29","0,10","0,35","0,23",BRC0121T,Nome não encontrado
Vitamina C,mg,"0,34","0,12","0,41","0,27",BRC0121T,Nome não encontrado
Equivalente de folato,mcg,128,"44,8",153,102,BRC0121T,Nome não encontrado
Sal de adição,g,"0,50","0,18","0,60","0,40",BRC0121T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0121T,Nome não encontrado
Gordura de adição,g,"0,96","0,34","1,15","0,77",BRC0121T,Nome não encontrado
Proteína vegetal,g,"5,67","1,98","6,80","4,54",BRC0121T,Nome não encontrado
Proteína animal,g,"3,69","1,29","4,43","2,95",BRC0121T,Nome não encontrado
