componente,unidade,Valor por 100g,Colher sopa cheia (40 g),Colher sopa rasa (25 g),Pedaço/ Unidade/ Fatia (M) (80 g),codigo_alimento,nome_alimento
Energia,kJ,875,349,218,699,BRC0122G,Nome não encontrado
Energia,kcal,207,82,51,165,BRC0122G,Nome não encontrado
Umidade,g,"52,2","20,9","13,0","41,7",BRC0122G,Nome não encontrado
Carboidrato total,g,"37,8","15,1","9,45","30,3",BRC0122G,Nome não encontrado
Carboidrato disponível,g,"37,6","15,0","9,40","30,1",BRC0122G,Nome não encontrado
Proteína,g,"5,02","2,01","1,26","4,02",BRC0122G,Nome não encontrado
Lipídios,g,"4,01","1,60","1,00","3,21",BRC0122G,Nome não encontrado
Fibra alimentar,g,"0,23","0,09","0,06","0,18",BRC0122G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0122G,Nome não encontrado
Cinzas,g,"0,97","0,39","0,24","0,77",BRC0122G,Nome não encontrado
Colesterol,mg,"46,9","18,8","11,7","37,5",BRC0122G,Nome não encontrado
Ácidos graxos saturados,g,"2,12","0,85","0,53","1,70",BRC0122G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,21","0,49","0,30","0,97",BRC0122G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,25","0,10","0,06","0,20",BRC0122G,Nome não encontrado
Ácidos graxos trans,g,"0,08","0,03","0,02","0,06",BRC0122G,Nome não encontrado
Cálcio,mg,112,"45,1","28,2","90,3",BRC0122G,Nome não encontrado
Ferro,mg,"0,96","0,38","0,24","0,77",BRC0122G,Nome não encontrado
Sódio,mg,122,"49,0","30,6","98,1",BRC0122G,Nome não encontrado
Magnésio,mg,"16,9","6,74","4,21","13,5",BRC0122G,Nome não encontrado
Fósforo,mg,104,"41,9","26,2","83,7",BRC0122G,Nome não encontrado
Potássio,mg,185,"74,2","46,4",148,BRC0122G,Nome não encontrado
Manganês,mg,"0,40","0,16","0,10","0,32",BRC0122G,Nome não encontrado
Zinco,mg,"0,57","0,23","0,14","0,46",BRC0122G,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,03",BRC0122G,Nome não encontrado
Selênio,mcg,"7,65","3,06","1,91","6,12",BRC0122G,Nome não encontrado
Vitamina A (RE),mcg,"45,5","18,2","11,4","36,4",BRC0122G,Nome não encontrado
Vitamina A (RAE),mcg,"44,9","18,0","11,2","35,9",BRC0122G,Nome não encontrado
Vitamina D,mcg,"0,24","0,10","0,06","0,19",BRC0122G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,07","0,04","0,14",BRC0122G,Nome não encontrado
Tiamina,mg,"0,07","0,03","0,02","0,06",BRC0122G,Nome não encontrado
Riboflavina,mg,"0,26","0,10","0,06","0,21",BRC0122G,Nome não encontrado
Niacina,mg,"0,79","0,31","0,20","0,63",BRC0122G,Nome não encontrado
Vitamina B6,mg,"0,17","0,07","0,04","0,14",BRC0122G,Nome não encontrado
Vitamina B12,mcg,"0,34","0,14","0,09","0,28",BRC0122G,Nome não encontrado
Vitamina C,mg,"0,34","0,14","0,09","0,27",BRC0122G,Nome não encontrado
Equivalente de folato,mcg,"21,8","8,70","5,44","17,4",BRC0122G,Nome não encontrado
Sal de adição,g,,,,,BRC0122G,Nome não encontrado
Açúcar de adição,g,,,,,BRC0122G,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0122G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0122G,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0122G,Nome não encontrado
