componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1427,BRC0123K,Nome não encontrado
Energia,kcal,339,BRC0123K,Nome não encontrado
Umidade,g,"28,4",BRC0123K,Nome não encontrado
Carboidrato total,g,"50,8",BRC0123K,Nome não encontrado
Carboidrato disponível,g,"49,4",BRC0123K,Nome não encontrado
Proteína,g,"8,13",BRC0123K,Nome não encontrado
Lipídios,g,"11,8",BRC0123K,Nome não encontrado
Fibra alimentar,g,"1,42",BRC0123K,Nome não encontrado
Álcool,g,"0,00",BRC0123K,Nome não encontrado
Cinzas,g,"0,88",BRC0123K,Nome não encontrado
Colesterol,mg,"96,4",BRC0123K,Nome não encontrado
Ácidos graxos saturados,g,"6,30",BRC0123K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,21",BRC0123K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,64",BRC0123K,Nome não encontrado
Ácidos graxos trans,g,"0,36",BRC0123K,Nome não encontrado
Cálcio,mg,"24,5",BRC0123K,Nome não encontrado
Ferro,mg,"2,69",BRC0123K,Nome não encontrado
Sódio,mg,150,BRC0123K,Nome não encontrado
Magnésio,mg,"18,3",BRC0123K,Nome não encontrado
Fósforo,mg,"99,4",BRC0123K,Nome não encontrado
Potássio,mg,"97,0",BRC0123K,Nome não encontrado
Manganês,mg,"0,36",BRC0123K,Nome não encontrado
Zinco,mg,"0,77",BRC0123K,Nome não encontrado
Cobre,mg,"0,09",BRC0123K,Nome não encontrado
Selênio,mcg,"6,56",BRC0123K,Nome não encontrado
Vitamina A (RE),mcg,"22,7",BRC0123K,Nome não encontrado
Vitamina A (RAE),mcg,"22,7",BRC0123K,Nome não encontrado
Vitamina D,mcg,"0,36",BRC0123K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,27",BRC0123K,Nome não encontrado
Tiamina,mg,"0,15",BRC0123K,Nome não encontrado
Riboflavina,mg,"0,07",BRC0123K,Nome não encontrado
Niacina,mg,"0,50",BRC0123K,Nome não encontrado
Vitamina B6,mg,"0,00",BRC0123K,Nome não encontrado
Vitamina B12,mcg,"0,22",BRC0123K,Nome não encontrado
Vitamina C,mg,"0,00",BRC0123K,Nome não encontrado
Equivalente de folato,mcg,"11,2",BRC0123K,Nome não encontrado
Sal de adição,g,"0,30",BRC0123K,Nome não encontrado
Açúcar de adição,g,"5,35",BRC0123K,Nome não encontrado
Gordura de adição,g,-,BRC0123K,Nome não encontrado
Proteína vegetal,g,-,BRC0123K,Nome não encontrado
Proteína animal,g,-,BRC0123K,Nome não encontrado
