componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,333,66,432,BRC0124T,Nome não encontrado
Energia,kcal,80,16,104,BRC0124T,Nome não encontrado
Umidade,g,"81,8","16,4",106,BRC0124T,Nome não encontrado
Carboidrato total,g,"8,87","1,77","11,5",BRC0124T,Nome não encontrado
Carboidrato disponível,g,"3,75","0,75","4,88",BRC0124T,Nome não encontrado
Proteína,g,"4,14","0,83","5,39",BRC0124T,Nome não encontrado
Lipídios,g,"4,26","0,85","5,54",BRC0124T,Nome não encontrado
Fibra alimentar,g,"5,12","1,02","6,66",BRC0124T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Cinzas,g,"0,97","0,19","1,26",BRC0124T,Nome não encontrado
Colesterol,mg,"4,47","0,89","5,81",BRC0124T,Nome não encontrado
Ácidos graxos saturados,g,"1,17","0,23","1,52",BRC0124T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,54","0,31","2,00",BRC0124T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,34","0,27","1,75",BRC0124T,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,01","0,04",BRC0124T,Nome não encontrado
Cálcio,mg,"18,5","3,70","24,0",BRC0124T,Nome não encontrado
Ferro,mg,"0,94","0,19","1,22",BRC0124T,Nome não encontrado
Sódio,mg,195,"39,0",253,BRC0124T,Nome não encontrado
Magnésio,mg,"25,2","5,04","32,8",BRC0124T,Nome não encontrado
Fósforo,mg,"59,8","12,0","77,7",BRC0124T,Nome não encontrado
Potássio,mg,171,"34,3",223,BRC0124T,Nome não encontrado
Manganês,mg,"0,23","0,05","0,29",BRC0124T,Nome não encontrado
Zinco,mg,"1,16","0,23","1,51",BRC0124T,Nome não encontrado
Cobre,mg,"0,35","0,07","0,45",BRC0124T,Nome não encontrado
Selênio,mcg,"1,65","0,33","2,14",BRC0124T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,12","0,02","0,15",BRC0124T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,05",BRC0124T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Niacina,mg,"0,25","0,05","0,33",BRC0124T,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,03",BRC0124T,Nome não encontrado
Vitamina B12,mcg,"0,09","0,02","0,11",BRC0124T,Nome não encontrado
Vitamina C,mg,"0,27","0,05","0,35",BRC0124T,Nome não encontrado
Equivalente de folato,mcg,"52,2","10,4","67,8",BRC0124T,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0124T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0124T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0124T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0124T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0124T,Nome não encontrado
