componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,618,340,278,BRC0125G,Nome não encontrado
Energia,kcal,147,80,65,BRC0125G,Nome não encontrado
Umidade,g,"64,8","35,6","29,2",BRC0125G,Nome não encontrado
Carboidrato total,g,"25,3","13,9","11,4",BRC0125G,Nome não encontrado
Carboidrato disponível,g,"23,6","13,0","10,6",BRC0125G,Nome não encontrado
Proteína,g,"5,66","3,11","2,54",BRC0125G,Nome não encontrado
Lipídios,g,"2,92","1,61","1,31",BRC0125G,Nome não encontrado
Fibra alimentar,g,"1,71","0,94","0,77",BRC0125G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0125G,Nome não encontrado
Cinzas,g,"1,34","0,74","0,60",BRC0125G,Nome não encontrado
Colesterol,mg,"9,00","4,95","4,05",BRC0125G,Nome não encontrado
Ácidos graxos saturados,g,"1,60","0,88","0,72",BRC0125G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,79","0,43","0,35",BRC0125G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,20","0,16",BRC0125G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0125G,Nome não encontrado
Cálcio,mg,231,127,104,BRC0125G,Nome não encontrado
Ferro,mg,"3,46","1,90","1,56",BRC0125G,Nome não encontrado
Sódio,mg,116,"64,3","52,6",BRC0125G,Nome não encontrado
Magnésio,mg,"26,6","14,7","12,0",BRC0125G,Nome não encontrado
Fósforo,mg,192,105,"86,7",BRC0125G,Nome não encontrado
Potássio,mg,163,"89,7","73,4",BRC0125G,Nome não encontrado
Manganês,mg,"0,62","0,34","0,28",BRC0125G,Nome não encontrado
Zinco,mg,"0,83","0,45","0,37",BRC0125G,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0125G,Nome não encontrado
Selênio,mcg,"10,7","5,88","4,81",BRC0125G,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0125G,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0125G,Nome não encontrado
Vitamina D,mcg,"1,25","0,69","0,56",BRC0125G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,56","1,41","1,15",BRC0125G,Nome não encontrado
Tiamina,mg,"0,31","0,17","0,14",BRC0125G,Nome não encontrado
Riboflavina,mg,"0,49","0,27","0,22",BRC0125G,Nome não encontrado
Niacina,mg,"5,02","2,76","2,26",BRC0125G,Nome não encontrado
Vitamina B6,mg,"0,32","0,18","0,14",BRC0125G,Nome não encontrado
Vitamina B12,mcg,"0,84","0,46","0,38",BRC0125G,Nome não encontrado
Vitamina C,mg,"11,0","6,06","4,96",BRC0125G,Nome não encontrado
Equivalente de folato,mcg,"59,1","32,5","26,6",BRC0125G,Nome não encontrado
Sal de adição,g,,,,BRC0125G,Nome não encontrado
Açúcar de adição,g,,,,BRC0125G,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0125G,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0125G,Nome não encontrado
Proteína animal,g,-,-,-,BRC0125G,Nome não encontrado
