componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,338,BRC0126G,Nome não encontrado
Energia,kcal,80,BRC0126G,Nome não encontrado
Umidade,g,"81,2",BRC0126G,Nome não encontrado
Carboidrato total,g,"13,5",BRC0126G,Nome não encontrado
Carboidrato disponível,g,"11,9",BRC0126G,Nome não encontrado
Proteína,g,"2,22",BRC0126G,Nome não encontrado
Lipídios,g,"2,31",BRC0126G,Nome não encontrado
Fibra alimentar,g,"1,56",BRC0126G,Nome não encontrado
Álcool,g,"0,00",BRC0126G,Nome não encontrado
Cinzas,g,"0,80",BRC0126G,Nome não encontrado
Colesterol,mg,"8,29",BRC0126G,Nome não encontrado
Ácidos graxos saturados,g,"1,36",BRC0126G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,63",BRC0126G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15",BRC0126G,Nome não encontrado
Ácidos graxos trans,g,"0,00",BRC0126G,Nome não encontrado
Cálcio,mg,"76,4",BRC0126G,Nome não encontrado
Ferro,mg,"0,23",BRC0126G,Nome não encontrado
Sódio,mg,"43,5",BRC0126G,Nome não encontrado
Magnésio,mg,"10,5",BRC0126G,Nome não encontrado
Fósforo,mg,"60,0",BRC0126G,Nome não encontrado
Potássio,mg,156,BRC0126G,Nome não encontrado
Manganês,mg,"0,14",BRC0126G,Nome não encontrado
Zinco,mg,"0,31",BRC0126G,Nome não encontrado
Cobre,mg,"0,03",BRC0126G,Nome não encontrado
Selênio,mcg,"3,33",BRC0126G,Nome não encontrado
Vitamina A (RE),mcg,"61,9",BRC0126G,Nome não encontrado
Vitamina A (RAE),mcg,"47,0",BRC0126G,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0126G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,16",BRC0126G,Nome não encontrado
Tiamina,mg,"0,03",BRC0126G,Nome não encontrado
Riboflavina,mg,"0,16",BRC0126G,Nome não encontrado
Niacina,mg,"1,02",BRC0126G,Nome não encontrado
Vitamina B6,mg,"0,01",BRC0126G,Nome não encontrado
Vitamina B12,mcg,"0,25",BRC0126G,Nome não encontrado
Vitamina C,mg,"24,3",BRC0126G,Nome não encontrado
Equivalente de folato,mcg,"14,5",BRC0126G,Nome não encontrado
Sal de adição,g,"6,00",BRC0126G,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0126G,Nome não encontrado
Gordura de adição,g,-,BRC0126G,Nome não encontrado
Proteína vegetal,g,-,BRC0126G,Nome não encontrado
Proteína animal,g,-,BRC0126G,Nome não encontrado
