componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,1181,708,472,BRC0127K,Nome não encontrado
Energia,kcal,282,169,112,BRC0127K,Nome não encontrado
Umidade,g,"46,3","27,8","18,5",BRC0127K,Nome não encontrado
Carboidrato total,g,"33,4","20,0","13,3",BRC0127K,Nome não encontrado
Carboidrato disponível,g,"33,1","19,8","13,2",BRC0127K,Nome não encontrado
Proteína,g,"4,90","2,94","1,96",BRC0127K,Nome não encontrado
Lipídios,g,"14,4","8,65","5,76",BRC0127K,Nome não encontrado
Fibra alimentar,g,"0,27","0,16","0,11",BRC0127K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0127K,Nome não encontrado
Cinzas,g,"1,03","0,62","0,41",BRC0127K,Nome não encontrado
Colesterol,mg,118,"71,3","47,5",BRC0127K,Nome não encontrado
Ácidos graxos saturados,g,"9,68","5,81","3,87",BRC0127K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,55","1,53","1,02",BRC0127K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,55","0,33","0,22",BRC0127K,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,09","0,06",BRC0127K,Nome não encontrado
Cálcio,mg,114,"68,7","45,8",BRC0127K,Nome não encontrado
Ferro,mg,"0,71","0,43","0,28",BRC0127K,Nome não encontrado
Sódio,mg,"59,9","35,9","24,0",BRC0127K,Nome não encontrado
Magnésio,mg,"18,9","11,3","7,57",BRC0127K,Nome não encontrado
Fósforo,mg,120,"72,1","48,1",BRC0127K,Nome não encontrado
Potássio,mg,212,127,"84,9",BRC0127K,Nome não encontrado
Manganês,mg,"0,30","0,18","0,12",BRC0127K,Nome não encontrado
Zinco,mg,"0,74","0,44","0,30",BRC0127K,Nome não encontrado
Cobre,mg,"0,08","0,05","0,03",BRC0127K,Nome não encontrado
Selênio,mcg,"9,22","5,53","3,69",BRC0127K,Nome não encontrado
Vitamina A (RE),mcg,"84,5","50,7","33,8",BRC0127K,Nome não encontrado
Vitamina A (RAE),mcg,"83,6","50,1","33,4",BRC0127K,Nome não encontrado
Vitamina D,mcg,"0,63","0,38","0,25",BRC0127K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,41","0,84","0,56",BRC0127K,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,02",BRC0127K,Nome não encontrado
Riboflavina,mg,"0,15","0,09","0,06",BRC0127K,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00",BRC0127K,Nome não encontrado
Vitamina B6,mg,"0,23","0,14","0,09",BRC0127K,Nome não encontrado
Vitamina B12,mcg,"0,35","0,21","0,14",BRC0127K,Nome não encontrado
Vitamina C,mg,"0,85","0,51","0,34",BRC0127K,Nome não encontrado
Equivalente de folato,mcg,"21,9","13,1","8,74",BRC0127K,Nome não encontrado
Sal de adição,g,,,,BRC0127K,Nome não encontrado
Açúcar de adição,g,,,,BRC0127K,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0127K,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0127K,Nome não encontrado
Proteína animal,g,-,-,-,BRC0127K,Nome não encontrado
