componente,unidade,Valor por 100g,Colher chá cheia (5 g),Colher sobremesa cheia (10 g),Colher sobremesa rasa (8 g),Colher sopa cheia (16 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,1500,74,149,119,239,179,BRC0128A,Nome não encontrado
Energia,kcal,354,17,35,28,56,42,BRC0128A,Nome não encontrado
Umidade,g,"11,1","0,55","1,11","0,88","1,77","1,33",BRC0128A,Nome não encontrado
Carboidrato total,g,"79,8","3,99","7,98","6,38","12,8","9,57",BRC0128A,Nome não encontrado
Carboidrato disponível,g,"75,8","3,79","7,58","6,06","12,1","9,10",BRC0128A,Nome não encontrado
Proteína,g,"6,85","0,34","0,69","0,55","1,10","0,82",BRC0128A,Nome não encontrado
Lipídios,g,"1,70","0,09","0,17","0,14","0,27","0,20",BRC0128A,Nome não encontrado
Fibra alimentar,g,"3,98","0,20","0,40","0,32","0,64","0,48",BRC0128A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Cinzas,g,"0,61","0,03","0,06","0,05","0,10","0,07",BRC0128A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,02","0,04","0,03","0,06","0,05",BRC0128A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,02","0,04","0,03","0,07","0,05",BRC0128A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,70","0,04","0,07","0,06","0,11","0,08",BRC0128A,Nome não encontrado
Ácidos graxos trans,g,,,,,,,BRC0128A,Nome não encontrado
Cálcio,mg,"5,05","0,25","0,51","0,40","0,81","0,61",BRC0128A,Nome não encontrado
Ferro,mg,"1,49","0,07","0,15","0,12","0,24","0,18",BRC0128A,Nome não encontrado
Sódio,mg,115,"5,79","11,6","9,27","18,5","13,9",BRC0128A,Nome não encontrado
Magnésio,mg,"22,5","1,13","2,25","1,80","3,61","2,70",BRC0128A,Nome não encontrado
Fósforo,mg,"77,8","3,89","7,78","6,22","12,4","9,33",BRC0128A,Nome não encontrado
Potássio,mg,"51,7","2,59","5,17","4,14","8,28","6,21",BRC0128A,Nome não encontrado
Manganês,mg,"0,20","0,01","0,02","0,02","0,03","0,02",BRC0128A,Nome não encontrado
Zinco,mg,"0,51","0,03","0,05","0,04","0,08","0,06",BRC0128A,Nome não encontrado
Cobre,mg,"0,17","0,01","0,02","0,01","0,03","0,02",BRC0128A,Nome não encontrado
Selênio,mcg,,,,,,,BRC0128A,Nome não encontrado
Vitamina A (RE),mcg,"25,6","1,28","2,56","2,05","4,10","3,08",BRC0128A,Nome não encontrado
Vitamina A (RAE),mcg,"12,8","0,64","1,28","1,03","2,05","1,54",BRC0128A,Nome não encontrado
Vitamina D,mcg,"4,72","0,24","0,47","0,38","0,76","0,57",BRC0128A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Tiamina,mg,"0,14","0,01","0,01","0,01","0,02","0,02",BRC0128A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0128A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0128A,Nome não encontrado
Vitamina B6,mg,"0,12","0,01","0,01","0,01","0,02","0,01",BRC0128A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,traços,BRC0128A,Nome não encontrado
Equivalente de folato,mcg,300,"15,0","30,0","24,0","48,0","36,0",BRC0128A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
Proteína vegetal,g,"6,85","0,34","0,69","0,55","1,10","0,82",BRC0128A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0128A,Nome não encontrado
