componente,unidade,Valor por 100g,Colher sopa cheia (5 g),Escumadeira rasa (15 g),Xícara chá (25 mL),codigo_alimento,nome_alimento
Energia,kJ,1825,91,273,456,BRC0129A,Nome não encontrado
Energia,kcal,436,21,65,108,BRC0129A,Nome não encontrado
Umidade,g,"2,82","0,14","0,42","0,70",BRC0129A,Nome não encontrado
Carboidrato total,g,"70,3","3,52","10,5","17,6",BRC0129A,Nome não encontrado
Carboidrato disponível,g,"56,0","2,80","8,40","14,0",BRC0129A,Nome não encontrado
Proteína,g,"9,93","0,50","1,49","2,48",BRC0129A,Nome não encontrado
Lipídios,g,"15,9","0,80","2,39","3,99",BRC0129A,Nome não encontrado
Fibra alimentar,g,"14,3","0,72","2,15","3,58",BRC0129A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Cinzas,g,"1,00","0,05","0,15","0,25",BRC0129A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Ácidos graxos saturados,g,"2,36","0,12","0,35","0,59",BRC0129A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,69","0,18","0,55","0,92",BRC0129A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"9,19","0,46","1,38","2,30",BRC0129A,Nome não encontrado
Ácidos graxos trans,g,,,,,BRC0129A,Nome não encontrado
Cálcio,mg,"2,83","0,14","0,42","0,71",BRC0129A,Nome não encontrado
Ferro,mg,"1,16","0,06","0,17","0,29",BRC0129A,Nome não encontrado
Sódio,mg,"4,32","0,22","0,65","1,08",BRC0129A,Nome não encontrado
Magnésio,mg,"90,8","4,54","13,6","22,7",BRC0129A,Nome não encontrado
Fósforo,mg,225,"11,3","33,8","56,3",BRC0129A,Nome não encontrado
Potássio,mg,255,"12,8","38,4","64,0",BRC0129A,Nome não encontrado
Manganês,mg,"0,65","0,03","0,10","0,16",BRC0129A,Nome não encontrado
Zinco,mg,"2,05","0,10","0,31","0,51",BRC0129A,Nome não encontrado
Cobre,mg,"0,46","0,02","0,07","0,12",BRC0129A,Nome não encontrado
Selênio,mcg,"7,30","0,37","1,10","1,83",BRC0129A,Nome não encontrado
Vitamina A (RE),mcg,"1,13","0,06","0,17","0,28",BRC0129A,Nome não encontrado
Vitamina A (RAE),mcg,"0,57","0,03","0,09","0,14",BRC0129A,Nome não encontrado
Vitamina D,mcg,,,,,BRC0129A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Tiamina,mg,"0,03","0,00","0,00","0,01",BRC0129A,Nome não encontrado
Riboflavina,mg,"0,03","0,00","0,00","0,01",BRC0129A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,BRC0129A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,BRC0129A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0129A,Nome não encontrado
Equivalente de folato,mcg,"17,0","0,85","2,55","4,25",BRC0129A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
Gordura de adição,g,,,,,BRC0129A,Nome não encontrado
Proteína vegetal,g,"9,93","0,50","1,49","2,48",BRC0129A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0129A,Nome não encontrado
