componente,unidade,Valor por 100g,Colher café cheia (6 g),Colher chá rasa (3 g),Colher servir cheia (50 g),Colher servir rasa (35 g),Colher sobremesa cheia (17 g),Colher sobremesa rasa (12 g),Colher sopa cheia (27 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,985,59,29,492,344,167,118,266,167,BRC0138N,Nome não encontrado
Energia,kcal,238,14,7,119,83,40,28,64,40,BRC0138N,Nome não encontrado
Umidade,g,"66,1","3,97","1,98","33,1","23,1","11,2","7,94","17,9","11,2",BRC0138N,Nome não encontrado
Carboidrato total,g,"9,23","0,55","0,28","4,62","3,23","1,57","1,11","2,49","1,57",BRC0138N,Nome não encontrado
Carboidrato disponível,g,"9,23","0,55","0,28","4,62","3,23","1,57","1,11","2,49","1,57",BRC0138N,Nome não encontrado
Proteína,g,"0,37","0,02","0,01","0,19","0,13","0,06","0,04","0,10","0,06",BRC0138N,Nome não encontrado
Lipídios,g,"22,2","1,33","0,67","11,1","7,78","3,78","2,67","6,00","3,78",BRC0138N,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Cinzas,g,"2,05","0,12","0,06","1,03","0,72","0,35","0,25","0,55","0,35",BRC0138N,Nome não encontrado
Colesterol,mg,"16,0","0,96","0,48","8,00","5,60","2,72","1,92","4,32","2,72",BRC0138N,Nome não encontrado
Ácidos graxos saturados,g,"3,45","0,21","0,10","1,72","1,21","0,59","0,41","0,93","0,59",BRC0138N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"5,01","0,30","0,15","2,51","1,75","0,85","0,60","1,35","0,85",BRC0138N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"13,0","0,78","0,39","6,50","4,55","2,21","1,56","3,51","2,21",BRC0138N,Nome não encontrado
Ácidos graxos trans,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
Cálcio,mg,"6,00","0,36","0,18","3,00","2,10","1,02","0,72","1,62","1,02",BRC0138N,Nome não encontrado
Ferro,mg,"0,14","0,01","0,00","0,07","0,05","0,02","0,02","0,04","0,02",BRC0138N,Nome não encontrado
Sódio,mg,827,"49,6","24,8",413,289,140,"99,2",223,140,BRC0138N,Nome não encontrado
Magnésio,mg,"2,00","0,12","0,06","1,00","0,70","0,34","0,24","0,54","0,34",BRC0138N,Nome não encontrado
Fósforo,mg,"15,0","0,90","0,45","7,50","5,25","2,55","1,80","4,05","2,55",BRC0138N,Nome não encontrado
Potássio,mg,"31,0","1,86","0,93","15,5","10,9","5,27","3,72","8,37","5,27",BRC0138N,Nome não encontrado
Manganês,mg,,,,traços,,,,,,BRC0138N,Nome não encontrado
Zinco,mg,"0,07","0,00","0,00","0,04","0,02","0,01","0,01","0,02","0,01",BRC0138N,Nome não encontrado
Cobre,mg,"0,02","0,00","0,00","0,01","0,01","0,00","0,00","0,01","0,00",BRC0138N,Nome não encontrado
Selênio,mcg,"2,60","0,16","0,08","1,30","0,91","0,44","0,31","0,70","0,44",BRC0138N,Nome não encontrado
Vitamina A (RE),mcg,,,,traços,,,,,,BRC0138N,Nome não encontrado
Vitamina A (RAE),mcg,"8,00","0,48","0,24","4,00","2,80","1,36","0,96","2,16","1,36",BRC0138N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,19","0,13","0,07","1,10","0,77","0,37","0,26","0,59","0,37",BRC0138N,Nome não encontrado
Tiamina,mg,"0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00","0,01","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0138N,Nome não encontrado
Equivalente de folato,mcg,"4,00","0,24","0,12","2,00","1,40","0,68","0,48","1,08","0,68",BRC0138N,Nome não encontrado
Sal de adição,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
Açúcar de adição,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
Gordura de adição,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
Proteína vegetal,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
Proteína animal,g,,,,traços,,,,,,BRC0138N,Nome não encontrado
