componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (20 g),Colher sopa cheia (35 g),codigo_alimento,nome_alimento
Energia,kJ,970,533,194,339,BRC0139K,Nome não encontrado
Energia,kcal,231,127,46,80,BRC0139K,Nome não encontrado
Umidade,g,"52,9","29,1","10,6","18,5",BRC0139K,Nome não encontrado
Carboidrato total,g,"31,7","17,4","6,34","11,1",BRC0139K,Nome não encontrado
Carboidrato disponível,g,"31,3","17,2","6,26","11,0",BRC0139K,Nome não encontrado
Proteína,g,"4,89","2,69","0,98","1,71",BRC0139K,Nome não encontrado
Lipídios,g,"9,51","5,23","1,90","3,33",BRC0139K,Nome não encontrado
Fibra alimentar,g,"0,35","0,19","0,07","0,12",BRC0139K,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0139K,Nome não encontrado
Cinzas,g,"1,03","0,57","0,21","0,36",BRC0139K,Nome não encontrado
Colesterol,mg,"54,4","29,9","10,9","19,0",BRC0139K,Nome não encontrado
Ácidos graxos saturados,g,"4,99","2,75","1,00","1,75",BRC0139K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,40","1,32","0,48","0,84",BRC0139K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,42","0,23","0,08","0,15",BRC0139K,Nome não encontrado
Ácidos graxos trans,g,"0,21","0,12","0,04","0,07",BRC0139K,Nome não encontrado
Cálcio,mg,132,"73,0","26,5","46,4",BRC0139K,Nome não encontrado
Ferro,mg,"0,57","0,32","0,11","0,20",BRC0139K,Nome não encontrado
Sódio,mg,"77,0","42,4","15,4","27,0",BRC0139K,Nome não encontrado
Magnésio,mg,"15,5","8,53","3,10","5,43",BRC0139K,Nome não encontrado
Fósforo,mg,131,"72,5","26,4","46,2",BRC0139K,Nome não encontrado
Potássio,mg,197,108,"39,5","69,1",BRC0139K,Nome não encontrado
Manganês,mg,"0,06","0,04","0,01","0,02",BRC0139K,Nome não encontrado
Zinco,mg,"0,61","0,34","0,12","0,21",BRC0139K,Nome não encontrado
Cobre,mg,"0,04","0,02","0,01","0,01",BRC0139K,Nome não encontrado
Selênio,mcg,"7,63","4,19","1,53","2,67",BRC0139K,Nome não encontrado
Vitamina A (RE),mcg,"94,7","52,1","18,9","33,2",BRC0139K,Nome não encontrado
Vitamina A (RAE),mcg,"92,1","50,7","18,4","32,2",BRC0139K,Nome não encontrado
Vitamina D,mcg,"0,44","0,24","0,09","0,15",BRC0139K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,18","0,07","0,12",BRC0139K,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,02",BRC0139K,Nome não encontrado
Riboflavina,mg,"0,22","0,12","0,04","0,08",BRC0139K,Nome não encontrado
Niacina,mg,"0,71","0,39","0,14","0,25",BRC0139K,Nome não encontrado
Vitamina B6,mg,"0,13","0,07","0,03","0,05",BRC0139K,Nome não encontrado
Vitamina B12,mcg,"0,33","0,18","0,07","0,12",BRC0139K,Nome não encontrado
Vitamina C,mg,"14,3","7,86","2,86","5,00",BRC0139K,Nome não encontrado
Equivalente de folato,mcg,"21,7","11,9","4,33","7,58",BRC0139K,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0139K,Nome não encontrado
Açúcar de adição,g,,,,,BRC0139K,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0139K,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0139K,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0139K,Nome não encontrado
