componente,unidade,Valor por 100g,Colher servir rasa (55 g),Colher sobremesa rasa (27 g),Colher sopa rasa (37 g),Copo americano duplo (230 mL),Prato raso (200 -),codigo_alimento,nome_alimento
Energia,kJ,334,183,90,123,767,667,BRC0140A,Nome não encontrado
Energia,kcal,79,43,21,29,181,158,BRC0140A,Nome não encontrado
Umidade,g,"81,6","44,9","22,0","30,2",187,163,BRC0140A,Nome não encontrado
Carboidrato total,g,"13,9","7,67","3,76","5,16","32,1","27,9",BRC0140A,Nome não encontrado
Carboidrato disponível,g,"13,5","7,42","3,64","4,99","31,0","27,0",BRC0140A,Nome não encontrado
Proteína,g,"2,36","1,30","0,64","0,87","5,43","4,72",BRC0140A,Nome não encontrado
Lipídios,g,"1,64","0,90","0,44","0,61","3,77","3,27",BRC0140A,Nome não encontrado
Fibra alimentar,g,"0,46","0,25","0,12","0,17","1,05","0,91",BRC0140A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
Cinzas,g,"0,49","0,27","0,13","0,18","1,13","0,99",BRC0140A,Nome não encontrado
Colesterol,mg,"4,74","2,61","1,28","1,75","10,9","9,48",BRC0140A,Nome não encontrado
Ácidos graxos saturados,g,"0,82","0,45","0,22","0,30","1,88","1,63",BRC0140A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,47","0,26","0,13","0,17","1,08","0,94",BRC0140A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,10","0,05","0,06","0,40","0,35",BRC0140A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,01","0,01","0,09","0,08",BRC0140A,Nome não encontrado
Cálcio,mg,"52,6","28,9","14,2","19,5",120,105,BRC0140A,Nome não encontrado
Ferro,mg,"0,45","0,25","0,12","0,17","1,03","0,90",BRC0140A,Nome não encontrado
Sódio,mg,"20,5","11,3","5,54","7,59","47,2","41,0",BRC0140A,Nome não encontrado
Magnésio,mg,"16,0","8,78","4,31","5,91","36,7","31,9",BRC0140A,Nome não encontrado
Fósforo,mg,"74,7","41,1","20,2","27,6",171,149,BRC0140A,Nome não encontrado
Potássio,mg,161,"89,0","43,7","59,9",372,323,BRC0140A,Nome não encontrado
Manganês,mg,"0,06","0,03","0,02","0,02","0,13","0,11",BRC0140A,Nome não encontrado
Zinco,mg,"0,40","0,22","0,11","0,15","0,92","0,80",BRC0140A,Nome não encontrado
Cobre,mg,"0,03","0,01","0,01","0,01","0,06","0,05",BRC0140A,Nome não encontrado
Selênio,mcg,,,,,,,BRC0140A,Nome não encontrado
Vitamina A (RE),mcg,"8,00","4,40","2,16","2,96","18,4","16,0",BRC0140A,Nome não encontrado
Vitamina A (RAE),mcg,"4,00","2,20","1,08","1,48","9,20","8,00",BRC0140A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,05","0,03","0,04","0,23","0,20",BRC0140A,Nome não encontrado
Tiamina,mg,"0,04","0,02","0,01","0,01","0,09","0,07",BRC0140A,Nome não encontrado
Riboflavina,mg,"0,07","0,04","0,02","0,03","0,16","0,14",BRC0140A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,,BRC0140A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,traços,traços,,BRC0140A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,,BRC0140A,Nome não encontrado
Equivalente de folato,mcg,"15,9","8,77","4,31","5,90","36,7","31,9",BRC0140A,Nome não encontrado
Sal de adição,g,,,,,,,BRC0140A,Nome não encontrado
Açúcar de adição,g,,,,,,,BRC0140A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0140A,Nome não encontrado
