componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,327,783,538,653,BRC0142T,Nome não encontrado
Energia,kcal,77,185,127,154,BRC0142T,Nome não encontrado
Umidade,g,"81,9",196,135,163,BRC0142T,Nome não encontrado
Carboidrato total,g,"13,0","31,1","21,4","26,0",BRC0142T,Nome não encontrado
Carboidrato disponível,g,"12,2","29,3","20,2","24,4",BRC0142T,Nome não encontrado
Proteína,g,"2,86","6,87","4,72","5,72",BRC0142T,Nome não encontrado
Lipídios,g,"1,73","4,16","2,86","3,47",BRC0142T,Nome não encontrado
Fibra alimentar,g,"0,76","1,83","1,26","1,52",BRC0142T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Cinzas,g,"0,51","1,22","0,84","1,01",BRC0142T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Ácidos graxos saturados,g,"0,33","0,78","0,54","0,65",BRC0142T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,35","0,84","0,58","0,70",BRC0142T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,58","1,39","0,96","1,16",BRC0142T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,02","0,02",BRC0142T,Nome não encontrado
Cálcio,mg,"19,3","46,4","31,9","38,6",BRC0142T,Nome não encontrado
Ferro,mg,"0,93","2,23","1,53","1,86",BRC0142T,Nome não encontrado
Sódio,mg,"57,4",137,"94,7",114,BRC0142T,Nome não encontrado
Magnésio,mg,"21,6","51,9","35,7","43,2",BRC0142T,Nome não encontrado
Fósforo,mg,"67,7",162,111,135,BRC0142T,Nome não encontrado
Potássio,mg,158,381,261,317,BRC0142T,Nome não encontrado
Manganês,mg,"0,19","0,45","0,31","0,37",BRC0142T,Nome não encontrado
Zinco,mg,"0,35","0,85","0,58","0,71",BRC0142T,Nome não encontrado
Cobre,mg,"0,13","0,31","0,22","0,26",BRC0142T,Nome não encontrado
Selênio,mcg,"0,27","0,65","0,45","0,54",BRC0142T,Nome não encontrado
Vitamina A (RE),mcg,"79,6",191,131,159,BRC0142T,Nome não encontrado
Vitamina A (RAE),mcg,"79,6",191,131,159,BRC0142T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,03","0,02","0,03",BRC0142T,Nome não encontrado
Tiamina,mg,"0,14","0,33","0,23","0,28",BRC0142T,Nome não encontrado
Riboflavina,mg,"0,10","0,24","0,17","0,20",BRC0142T,Nome não encontrado
Niacina,mg,"0,50","1,20","0,83","1,00",BRC0142T,Nome não encontrado
Vitamina B6,mg,"0,15","0,37","0,25","0,31",BRC0142T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Equivalente de folato,mcg,"75,7",181,124,151,BRC0142T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0142T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0142T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0142T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0142T,Nome não encontrado
