componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,403,241,181,BRC0146T,Nome não encontrado
Energia,kcal,97,58,43,BRC0146T,Nome não encontrado
Umidade,g,"74,0","44,4","33,3",BRC0146T,Nome não encontrado
Carboidrato total,g,"13,0","7,80","5,85",BRC0146T,Nome não encontrado
Carboidrato disponível,g,"9,88","5,93","4,45",BRC0146T,Nome não encontrado
Proteína,g,"10,1","6,08","4,56",BRC0146T,Nome não encontrado
Lipídios,g,"1,19","0,71","0,53",BRC0146T,Nome não encontrado
Fibra alimentar,g,"3,12","1,87","1,41",BRC0146T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Cinzas,g,"1,69","1,01","0,76",BRC0146T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Ácidos graxos saturados,g,"0,16","0,10","0,07",BRC0146T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,24","0,14","0,11",BRC0146T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,36","0,27",BRC0146T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00",BRC0146T,Nome não encontrado
Cálcio,mg,"32,3","19,4","14,5",BRC0146T,Nome não encontrado
Ferro,mg,"2,16","1,29","0,97",BRC0146T,Nome não encontrado
Sódio,mg,162,"97,5","73,1",BRC0146T,Nome não encontrado
Magnésio,mg,"11,3","6,77","5,08",BRC0146T,Nome não encontrado
Fósforo,mg,123,"74,2","55,6",BRC0146T,Nome não encontrado
Potássio,mg,136,"81,8","61,3",BRC0146T,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03",BRC0146T,Nome não encontrado
Zinco,mg,"0,68","0,41","0,31",BRC0146T,Nome não encontrado
Cobre,mg,"0,05","0,03","0,02",BRC0146T,Nome não encontrado
Selênio,mcg,"0,20","0,12","0,09",BRC0146T,Nome não encontrado
Vitamina A (RE),mcg,111,"66,9","50,1",BRC0146T,Nome não encontrado
Vitamina A (RAE),mcg,"59,0","35,4","26,5",BRC0146T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,28","0,21",BRC0146T,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0146T,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01",BRC0146T,Nome não encontrado
Niacina,mg,"0,55","0,33","0,25",BRC0146T,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,03",BRC0146T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Vitamina C,mg,"10,5","6,30","4,72",BRC0146T,Nome não encontrado
Equivalente de folato,mcg,"32,0","19,2","14,4",BRC0146T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0146T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0146T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0146T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0146T,Nome não encontrado
